alpha,lambda20,kappa,score
0.0,0.0,0.8,1.1939774839763393
0.0,0.25,0.8,1.1939774839763393
0.0,0.5,0.8,1.1939774839763393
0.0,0.75,0.8,1.1939774839763393
0.0,1.0,0.8,1.1939774839763393
0.25,0.25,0.8,1.1948685079558532
0.25,0.0,0.8,1.1948852496797255
0.25,0.5,0.8,1.1950815803248842
0.25,0.75,0.8,1.1955077444603726
0.25,1.0,0.8,1.1961437420256855
0.5,0.25,0.8,1.2023400628695597
0.5,0.0,0.8,1.2026777666883353
0.5,0.5,0.8,1.2029698828388102
0.5,0.75,0.8,1.204545501354423
0.5,1.0,0.8,1.2070502129855278
0.0,0.0,1.0,1.2121339086104046
0.0,0.25,1.0,1.2121339086104046
0.0,0.5,1.0,1.2121339086104046
0.0,0.75,1.0,1.2121339086104046
0.0,1.0,1.0,1.2121339086104046
0.75,0.25,0.8,1.2171588768260277
0.75,0.0,0.8,1.2181592004300175
0.75,0.5,0.8,1.218471426604741
0.25,0.5,1.0,1.2211754273057651
0.25,0.75,1.0,1.2212501493670935
0.25,0.25,1.0,1.2213779421032247
0.25,1.0,1.0,1.2215936590091352
0.25,0.0,1.0,1.221862758281996
0.75,0.75,0.8,1.2220914771021159
0.75,1.0,0.8,1.227846572387327
0.5,0.5,1.0,1.2385074396566393
0.5,0.25,1.0,1.2385479513110844
0.5,0.75,1.0,1.2395941160170223
0.5,0.0,1.0,1.2397686046704577
1.0,0.25,0.8,1.2403349148327834
0.5,1.0,1.0,1.241780307636648
1.0,0.0,0.8,1.242329928018671
1.0,0.5,0.8,1.2427384341628935
1.0,0.75,0.8,1.2494924403134524
1.0,1.0,0.8,1.260434808944007
0.0,0.0,1.2,1.2636122727250214
0.0,0.25,1.2,1.2636122727250214
0.0,0.5,1.2,1.2636122727250214
0.0,0.75,1.2,1.2636122727250214
0.0,1.0,1.2,1.2636122727250214
0.75,0.25,1.0,1.2645101620935386
0.75,0.5,1.0,1.2650721999111187
0.75,0.0,1.0,1.266780899010813
0.75,0.75,1.0,1.268382493250179
1.25,0.25,0.8,1.2732211271473628
0.75,1.0,1.0,1.2742509515218956
1.25,0.0,0.8,1.2765191087755903
1.25,0.5,0.8,1.2773966507164927
0.25,0.75,1.2,1.2803700094750652
0.25,0.5,1.2,1.2805178864067843
0.25,1.0,1.2,1.2805320124232626
0.25,0.25,1.2,1.280987176041299
0.25,0.0,1.2,1.2817705743320509
1.25,0.75,0.8,1.2886499739444162
1.0,0.25,1.0,1.3005819817613218
1.0,0.5,1.0,1.3023628716014382
1.0,0.0,1.0,1.3042701736736926
1.25,1.0,0.8,1.3068254282426155
0.5,0.5,1.2,1.3068741471130336
0.5,0.25,1.2,1.3074083622738868
0.5,0.75,1.2,1.3076176604466967
1.0,0.75,1.0,1.3092079404018164
0.5,0.0,1.2,1.309314412147332
0.5,1.0,1.2,1.3096764608310725
1.0,1.0,1.0,1.3209723610037318
0.75,0.5,1.2,1.3439636425475003
0.75,0.25,1.2,1.3441002815251248
0.75,0.75,1.2,1.3470593315859776
0.75,0.0,1.2,1.3475878869008293
1.25,0.25,1.0,1.3485309135830006
1.25,0.5,1.0,1.3520860939743338
0.75,1.0,1.2,1.3531892842069166
1.25,0.0,1.0,1.3542087506520293
1.25,0.75,1.0,1.3642042720629879
1.25,1.0,1.0,1.384470080487632
1.0,0.25,1.2,1.3927639214887344
1.0,0.5,1.2,1.393631205529344
1.0,0.0,1.2,1.3981724133117002
1.0,0.75,1.2,1.400610812317526
1.0,1.0,1.2,1.413378394624907
1.25,0.25,1.2,1.4549489591671387
1.25,0.5,1.2,1.4574880922738953
1.25,0.0,1.2,1.4629753888931107
1.25,0.75,1.2,1.4703597110506033
1.25,1.0,1.2,1.4929904020358613
