alpha,lambda20,kappa,score
0.75,0.25,1.0,0.38895031805506264
0.75,0.5,1.0,0.38930086587473195
0.5,0.5,1.0,0.3893548362788364
0.5,0.25,1.0,0.3893846609244484
0.75,0.0,1.0,0.3893970702350965
0.5,0.75,1.0,0.3896664973564677
0.5,0.0,1.0,0.3897684138934702
1.0,0.25,1.0,0.3903036119821987
0.5,1.0,1.0,0.39032238708065636
0.75,0.75,1.0,0.3904691043007813
1.0,0.0,1.0,0.39073737622208876
0.75,0.5,0.8,0.39096676514723633
0.75,0.25,0.8,0.3910558024237315
0.25,0.75,1.0,0.39136968183389864
0.25,1.0,1.0,0.3913944681087793
1.0,0.5,1.0,0.3914075281423633
0.25,0.5,1.0,0.3914318488322292
0.5,0.75,0.8,0.39150924360209105
0.75,0.75,0.8,0.39152158107394347
0.5,0.5,0.8,0.3915351654279497
0.25,0.25,1.0,0.39157680879646306
0.5,1.0,0.8,0.3917656576328862
1.0,0.25,0.8,0.3917981158578779
0.25,0.0,1.0,0.39180798260422334
0.75,0.0,0.8,0.3918338989228833
0.5,0.25,0.8,0.3918407997572547
1.0,0.5,0.8,0.39218279686292706
0.5,0.0,0.8,0.39243314533450435
0.75,1.0,1.0,0.3924668255546527
1.0,0.0,0.8,0.3926431970858083
0.75,1.0,0.8,0.3927078402478558
0.25,1.0,0.8,0.3933853985879206
0.25,0.75,0.8,0.3935080931474522
1.25,0.25,1.0,0.3936841669789146
0.25,0.5,0.8,0.3936992198330252
1.0,0.75,0.8,0.39374990936227355
0.25,0.25,0.8,0.39395900756744023
1.25,0.0,1.0,0.39396137897457645
1.0,0.75,1.0,0.3940169798227807
1.25,0.25,0.8,0.3941508731488375
0.25,0.0,0.8,0.39428659938643473
1.25,0.0,0.8,0.39497206333351265
1.25,0.5,0.8,0.3953059074109326
0.0,0.0,1.0,0.3953658950509
0.0,0.25,1.0,0.3953658950509
0.0,0.5,1.0,0.3953658950509
0.0,0.75,1.0,0.3953658950509
0.0,1.0,1.0,0.3953658950509
1.25,0.5,1.0,0.39591069470692725
1.0,1.0,0.8,0.3965255820663109
0.0,0.0,0.8,0.39724826615480674
0.0,0.25,0.8,0.39724826615480674
0.0,0.5,0.8,0.39724826615480674
0.0,0.75,0.8,0.39724826615480674
0.0,1.0,0.8,0.39724826615480674
0.75,0.25,1.2,0.39751238339112244
0.75,0.0,1.2,0.39765513023981036
0.5,0.25,1.2,0.397665581559026
0.5,0.0,1.2,0.3978426784313908
0.5,0.5,1.2,0.39789770660549434
1.0,1.0,1.0,0.3981688049022772
0.75,0.5,1.2,0.39833856566049414
1.25,0.75,0.8,0.3984379289792591
0.5,0.75,1.2,0.39854144397078173
1.0,0.25,1.2,0.3995121127023388
1.0,0.0,1.2,0.3995355912928889
0.5,1.0,1.2,0.3995767396417863
0.25,0.5,1.2,0.39980934330178336
0.25,0.25,1.2,0.39984045054632683
0.25,0.75,1.2,0.39987280680684967
0.25,0.0,1.2,0.3999680803019809
0.25,1.0,1.2,0.4000351473090704
0.75,0.75,1.2,0.40009699767701673
1.25,0.75,1.0,0.4006311452833702
1.0,0.5,1.2,0.40127930504421033
0.75,1.0,1.2,0.402819178227635
1.25,1.0,0.8,0.40354902047525326
1.25,0.0,1.2,0.40365951674376066
1.25,0.25,1.2,0.40391004659596874
0.0,0.0,1.2,0.40398174069145726
0.0,0.25,1.2,0.40398174069145726
0.0,0.5,1.2,0.40398174069145726
0.0,0.75,1.2,0.40398174069145726
0.0,1.0,1.2,0.40398174069145726
1.0,0.75,1.2,0.4048482189284013
1.25,0.5,1.2,0.4071287881371938
1.25,1.0,1.0,0.4078357555102369
1.0,1.0,1.2,0.410226395230861
1.25,0.75,1.2,0.41325229672392105
1.25,1.0,1.2,0.4223932341296013
