alpha,lambda20,kappa,score
1.0,0.75,1.0,1.0559762590699566
1.0,0.5,1.0,1.0595513436363004
1.0,1.0,1.0,1.0611251975394582
0.75,1.0,1.2,1.0633873535964324
1.0,1.0,0.8,1.0638699991670717
1.0,0.5,1.2,1.0672681747664157
1.25,0.5,0.8,1.0675131941379872
0.75,0.75,1.2,1.0677049495137598
1.0,0.75,0.8,1.069574428273112
0.75,1.0,1.0,1.070050896684482
1.0,0.25,1.0,1.0704999992012645
1.0,0.25,1.2,1.0710628369539825
1.25,0.75,0.8,1.0723000954791575
1.0,0.75,1.2,1.0726531824164145
1.25,0.25,1.0,1.0746787888425686
1.25,0.25,0.8,1.075140644729242
0.75,0.5,1.2,1.0760640111457433
0.75,0.75,1.0,1.0790063490391788
1.25,0.5,1.0,1.0798829504314995
1.0,0.5,0.8,1.0816185017137492
1.0,0.0,1.2,1.0829376507045914
1.25,0.0,1.0,1.0833049176657799
0.75,0.25,1.2,1.0879132351685208
1.0,0.0,1.0,1.0879650775250176
1.0,1.0,1.2,1.0885594917478858
0.75,0.5,1.0,1.0910729418082208
1.25,1.0,0.8,1.0918793452280269
1.25,0.0,0.8,1.0935918041214603
1.0,0.25,0.8,1.0987856496555695
1.25,0.75,1.0,1.1016114264411563
1.25,0.0,1.2,1.1024555124298618
0.75,0.0,1.2,1.1029132207140704
1.25,0.25,1.2,1.1039672237954248
0.75,1.0,0.8,1.1052546520361133
0.5,1.0,1.2,1.1056050792832113
0.75,0.25,1.0,1.1056855482396222
0.5,0.75,1.2,1.1143388980686622
0.75,0.75,0.8,1.118172502676753
1.0,0.0,0.8,1.1202581382248762
0.75,0.0,1.0,1.1226698190578228
1.25,0.5,1.2,1.122693782872917
0.5,0.5,1.2,1.1241031223812408
0.5,1.0,1.0,1.129986628369731
0.75,0.5,0.8,1.1331903855611103
0.5,0.25,1.2,1.1348839901488468
0.5,0.75,1.0,1.1400975160422346
1.25,1.0,1.0,1.142088265541964
0.5,0.0,1.2,1.1465981343268468
0.75,0.25,0.8,1.1497710374724985
0.5,0.5,1.0,1.1510040328792275
1.25,0.75,1.2,1.160966649806375
0.5,0.25,1.0,1.1624693460644901
0.75,0.0,0.8,1.1674456223009977
0.5,0.0,1.0,1.1743280395522384
0.5,1.0,0.8,1.179397626956012
0.25,1.0,1.2,1.1798188015301951
0.25,0.75,1.2,1.1852942183108595
0.5,0.75,0.8,1.1900016515100615
0.25,0.5,1.2,1.190876950844815
0.25,0.25,1.2,1.1965858262512883
0.5,0.5,0.8,1.2008668271600358
0.25,0.0,1.2,1.2024077001476952
0.25,1.0,1.0,1.2093441408781245
0.5,0.25,0.8,1.2119588832746473
0.25,0.75,1.0,1.2147296484673669
0.25,0.5,1.0,1.22016680996887
1.25,1.0,1.2,1.2207900828020175
0.5,0.0,0.8,1.2232439409787432
0.25,0.25,1.0,1.2256403738464343
0.25,0.0,1.0,1.2311666435658555
0.25,1.0,0.8,1.2583989285985722
0.0,0.0,1.2,1.2594978790385747
0.0,0.25,1.2,1.2594978790385747
0.0,0.5,1.2,1.2594978790385747
0.0,0.75,1.2,1.2594978790385747
0.0,1.0,1.2,1.2594978790385747
0.25,0.75,0.8,1.263355547938418
0.25,0.5,0.8,1.2683057263425495
0.25,0.25,0.8,1.2732545619021927
0.25,0.0,0.8,1.2782035592305336
0.0,0.0,1.0,1.2856631721771714
0.0,0.25,1.0,1.2856631721771714
0.0,0.5,1.0,1.2856631721771714
0.0,0.75,1.0,1.2856631721771714
0.0,1.0,1.0,1.2856631721771714
0.0,0.0,0.8,1.3277616712419968
0.0,0.25,0.8,1.3277616712419968
0.0,0.5,0.8,1.3277616712419968
0.0,0.75,0.8,1.3277616712419968
0.0,1.0,0.8,1.3277616712419968
