alpha,lambda20,kappa,score
0.5,1.0,1.0,0.4057502922102876
0.5,0.75,1.0,0.4057896891680944
0.75,0.75,1.0,0.4060351917627354
0.75,0.5,1.0,0.40608786621649545
0.5,0.5,1.0,0.4061312243654998
0.75,1.0,1.0,0.40667699531256496
0.5,0.25,1.0,0.4067835897780165
0.75,0.25,1.0,0.4068593337250086
0.5,0.0,1.0,0.407769284415878
0.25,1.0,1.0,0.40818650391342737
0.25,0.75,1.0,0.4084289149402716
0.75,0.0,1.0,0.4084315809467831
0.25,0.5,1.0,0.4087383877532575
1.0,0.5,1.0,0.4088021900028565
0.25,0.25,1.0,0.40912509005358505
1.0,0.75,1.0,0.4094067605755219
1.0,0.25,1.0,0.4095763498000185
0.25,0.0,1.0,0.4095883499779329
1.0,0.5,0.8,0.410246292375258
0.5,1.0,1.2,0.4104913164182437
0.25,1.0,1.2,0.41055754946318884
0.5,0.75,1.2,0.41057116170263086
1.0,0.75,0.8,0.4107856170652627
0.75,0.75,0.8,0.4107864506776834
0.75,0.5,0.8,0.4107896382416747
1.0,0.25,0.8,0.41082534406824545
0.25,0.75,1.2,0.41085356084500163
0.5,0.5,1.2,0.4110046309028536
0.25,0.5,1.2,0.4112360586482314
1.0,1.0,1.0,0.4113158950883504
0.75,1.0,0.8,0.41135687954332006
0.75,0.25,0.8,0.41140258548886177
0.25,0.25,1.2,0.41170562557298085
0.5,0.25,1.2,0.41180790977579756
1.0,0.0,1.0,0.4118334048741351
0.25,0.0,1.2,0.41226326335315144
1.25,0.5,0.8,0.4123286027912149
1.0,1.0,0.8,0.412383461054641
1.0,0.0,0.8,0.4125856867903034
0.75,0.0,0.8,0.412644007168653
1.25,0.25,0.8,0.41272803788750045
0.5,0.0,1.2,0.41298274263220797
0.5,1.0,0.8,0.413440437633962
0.75,0.75,1.2,0.4134787781922744
0.5,0.75,0.8,0.4134789304450898
0.0,0.0,1.0,0.4135894870686746
0.0,0.25,1.0,0.4135894870686746
0.0,0.5,1.0,0.4135894870686746
0.0,0.75,1.0,0.4135894870686746
0.0,1.0,1.0,0.4135894870686746
0.75,0.5,1.2,0.41362883720484134
0.5,0.5,0.8,0.41375532997923026
1.25,0.75,0.8,0.41376840998839487
0.0,0.0,1.2,0.4140718147259708
0.0,0.25,1.2,0.4140718147259708
0.0,0.5,1.2,0.4140718147259708
0.0,0.75,1.2,0.4140718147259708
0.0,1.0,1.2,0.4140718147259708
0.75,1.0,1.2,0.4141849259456101
0.5,0.25,0.8,0.4142724723715223
0.75,0.25,1.2,0.4146267935409476
1.25,0.5,1.0,0.41472103342680194
0.5,0.0,0.8,0.4150323952720964
1.25,0.0,0.8,0.4151843027614614
1.25,0.25,1.0,0.41534967758210073
1.25,0.75,1.0,0.41646612653424103
0.75,0.0,1.2,0.4165035407678655
1.25,1.0,0.8,0.4170074110280093
0.25,1.0,0.8,0.4182827882277971
1.25,0.0,1.0,0.4184453837349126
0.25,0.75,0.8,0.4184727008953497
0.25,0.5,0.8,0.41871742144597857
0.25,0.25,0.8,0.4190315095010077
0.25,0.0,0.8,0.419407914098373
1.0,0.5,1.2,0.41946855989310616
1.0,0.75,1.2,0.42008135830996374
1.25,1.0,1.0,0.4204255047805302
1.0,0.25,1.2,0.4204847859760866
1.0,1.0,1.2,0.42224910300166685
1.0,0.0,1.2,0.42323109431855566
0.0,0.0,0.8,0.42536611731956503
0.0,0.25,0.8,0.42536611731956503
0.0,0.5,0.8,0.42536611731956503
0.0,0.75,0.8,0.42536611731956503
0.0,1.0,0.8,0.42536611731956503
1.25,0.5,1.2,0.428939761027162
1.25,0.25,1.2,0.4298457426308382
1.25,0.75,1.2,0.43086762483901603
1.25,0.0,1.2,0.43365992217424476
1.25,1.0,1.2,0.4355041722977833
