alpha,lambda20,kappa,score
0.75,0.5,1.0,1.2657858137436244
0.75,0.25,1.0,1.2666843475894678
0.75,0.75,1.0,1.2672854453318603
0.5,0.75,1.0,1.268557092828703
0.5,0.5,1.0,1.2687141751814197
0.5,1.0,1.0,1.2694335332381972
1.0,0.25,1.0,1.2695154437740723
1.0,0.5,1.0,1.2696025869062564
0.5,0.25,1.0,1.269911447102707
0.75,0.0,1.0,1.269993317232233
0.75,1.0,1.0,1.2711715305337505
0.5,0.0,1.0,1.2721607401871158
1.0,0.0,1.0,1.273885051747712
1.0,0.75,1.0,1.2742378022918628
0.25,1.0,1.0,1.277068841313999
0.25,0.75,1.0,1.277400457898635
0.25,0.5,1.0,1.2779855344375657
0.25,0.25,1.0,1.2788385399479487
1.25,0.25,1.0,1.2789547570305455
0.25,0.0,1.0,1.2799526729959863
1.25,0.5,1.0,1.2810450695160118
1.0,1.0,1.0,1.2830884793991788
0.5,0.75,1.2,1.2838536546591242
0.5,0.5,1.2,1.2840669806595302
0.75,0.5,1.2,1.2842172854830594
1.25,0.0,1.0,1.284227122123074
0.5,1.0,1.2,1.2848420174679067
0.75,0.25,1.2,1.2853001304896907
0.5,0.25,1.2,1.2855181298123741
0.75,0.75,1.2,1.286052736548305
0.5,0.0,1.2,1.2882682074749654
0.75,0.0,1.2,1.2893122568241107
1.0,0.25,0.8,1.289639219740441
1.0,0.5,0.8,1.2896709159985764
1.25,0.75,1.0,1.2902503352306474
0.75,0.5,0.8,1.2903511650355335
0.25,1.0,1.2,1.290367229293347
0.75,1.0,1.2,1.2907029583160428
0.25,0.75,1.2,1.2908720298744847
0.75,0.25,0.8,1.2910025576865258
0.75,0.75,0.8,1.2915067848034643
0.25,0.5,1.2,1.2916580722637852
1.0,0.25,1.2,1.2924619104773238
0.25,0.25,1.2,1.292732963098447
1.0,0.5,1.2,1.2927472108433575
1.0,0.0,0.8,1.2930309155010324
1.0,0.75,0.8,1.2930656354865067
1.25,0.25,0.8,1.2932411078578427
0.0,0.0,1.0,1.293504822942186
0.0,0.25,1.0,1.293504822942186
0.0,0.5,1.0,1.293504822942186
0.0,0.75,1.0,1.293504822942186
0.0,1.0,1.0,1.293504822942186
0.75,0.0,0.8,1.2936040886218423
0.25,0.0,1.2,1.2941049130463187
0.75,1.0,0.8,1.2943989414915629
1.25,0.5,0.8,1.2945720115497297
0.5,0.75,0.8,1.2961857647764985
0.5,0.5,0.8,1.296251382977527
0.5,1.0,0.8,1.2969196457380392
0.5,0.25,0.8,1.2971253010428503
1.25,0.0,0.8,1.2975424721354718
1.0,0.0,1.2,1.2976578072971925
1.0,0.75,1.2,1.2982672804432378
0.5,0.0,0.8,1.2988304960653292
1.0,1.0,0.8,1.2997220859530678
1.25,0.75,0.8,1.3015588976657735
1.25,1.0,1.0,1.3063930780795123
0.0,0.0,1.2,1.3064177978049836
0.0,0.25,1.2,1.3064177978049836
0.0,0.5,1.2,1.3064177978049836
0.0,0.75,1.2,1.3064177978049836
0.0,1.0,1.2,1.3064177978049836
0.25,1.0,0.8,1.306529713108817
0.25,0.75,0.8,1.306776661391353
0.25,0.5,0.8,1.3072131744517843
1.25,0.25,1.2,1.3076691993718375
0.25,0.25,0.8,1.3078288598501195
0.25,0.0,0.8,1.3086369616786404
1.0,1.0,1.2,1.309009068701197
1.25,0.5,1.2,1.3102086644296647
1.25,1.0,0.8,1.313700677283671
1.25,0.0,1.2,1.3141236772851619
1.25,0.75,1.2,1.321315874295734
0.0,0.0,0.8,1.3225360898690892
0.0,0.25,0.8,1.3225360898690892
0.0,0.5,0.8,1.3225360898690892
0.0,0.75,0.8,1.3225360898690892
0.0,1.0,0.8,1.3225360898690892
1.25,1.0,1.2,1.3405690654211238
