alpha,lambda20,kappa,score
1.0,0.75,1.0,1.301169416347069
1.0,0.5,1.0,1.302307053224443
1.25,0.5,0.8,1.3101609366461693
1.0,0.5,1.2,1.3114330269533485
1.25,0.25,1.0,1.311860070409941
1.0,1.0,1.0,1.3119538476550074
1.0,0.25,1.2,1.3121547123539874
1.0,0.25,1.0,1.313839814997245
0.75,1.0,1.2,1.314218535614102
1.0,1.0,0.8,1.3144475686784165
1.25,0.25,0.8,1.3160274288139087
0.75,0.75,1.2,1.3175221388727536
1.25,0.0,1.0,1.3180116178254584
1.0,0.75,0.8,1.3190599536576864
1.25,0.75,0.8,1.3214217468270155
0.75,1.0,1.0,1.3225660289303014
1.0,0.75,1.2,1.323451390770525
1.0,0.0,1.2,1.3244638569926626
1.25,0.5,1.0,1.324679651267927
0.75,0.5,1.2,1.3268880996960974
1.0,0.5,0.8,1.3329086974239919
0.75,0.75,1.0,1.3334772615971153
1.0,0.0,1.0,1.3348024347107952
1.25,0.0,0.8,1.3373307249952024
1.25,0.0,1.2,1.3386084013990793
0.75,0.25,1.2,1.3413839237740055
1.25,0.25,1.2,1.3472911307287851
0.75,0.5,1.0,1.348808916222481
1.0,1.0,1.2,1.34888109140852
1.25,1.0,0.8,1.3524914540120607
1.0,0.25,0.8,1.3547350986217255
1.25,0.75,1.0,1.3590230829752794
0.75,0.0,1.2,1.3605830802213077
0.75,0.25,1.0,1.3679913137414692
0.75,1.0,0.8,1.370123904092169
0.5,1.0,1.2,1.3718421038332347
1.25,0.5,1.2,1.3783549558716361
1.0,0.0,0.8,1.3828138333720648
0.5,0.75,1.2,1.3833494922534986
0.75,0.75,0.8,1.3872041578087753
0.75,0.0,1.0,1.3899310887958756
0.5,0.5,1.2,1.396259599166142
0.5,1.0,1.0,1.4057901951717882
0.75,0.5,0.8,1.406813714053814
0.5,0.25,1.2,1.41042605922871
1.25,1.0,1.0,1.4172475341964816
0.5,0.75,1.0,1.4188351284588845
0.5,0.0,1.2,1.4256877964767372
0.75,0.25,0.8,1.4283442563133728
0.5,0.5,1.0,1.4326835036877936
1.25,0.75,1.2,1.434396268762634
0.5,0.25,1.0,1.447367445963066
0.75,0.0,0.8,1.4513287330644102
0.5,0.0,1.0,1.462738243806923
0.5,1.0,0.8,1.471107356316932
0.25,1.0,1.2,1.4727441732716375
0.25,0.75,1.2,1.4798045574708505
0.5,0.75,0.8,1.4849103525968863
0.25,0.5,1.2,1.4870787375446668
0.25,0.25,1.2,1.4946035688320765
0.5,0.5,0.8,1.499168281013131
0.25,0.0,1.2,1.5022729184122403
0.25,1.0,1.0,1.512315793641764
0.5,0.25,0.8,1.5137862132728388
1.25,1.0,1.2,1.5185320211503868
0.25,0.75,1.0,1.5193356829641853
0.25,0.5,1.0,1.5264601214049733
0.5,0.0,0.8,1.5287540200483927
0.25,0.25,1.0,1.5336464182868557
0.25,0.0,1.0,1.540888554091204
0.25,1.0,0.8,1.5776808480333986
0.0,0.0,1.2,1.5802432444691057
0.0,0.25,1.2,1.5802432444691057
0.0,0.5,1.2,1.5802432444691057
0.0,0.75,1.2,1.5802432444691057
0.0,1.0,1.2,1.5802432444691057
0.25,0.75,0.8,1.584259449701679
0.25,0.5,0.8,1.5908564707071395
0.25,0.25,0.8,1.5974525517856384
0.25,0.0,0.8,1.6040749202943891
0.0,0.0,1.0,1.61519564797425
0.0,0.25,1.0,1.61519564797425
0.0,0.5,1.0,1.61519564797425
0.0,0.75,1.0,1.61519564797425
0.0,1.0,1.0,1.61519564797425
0.0,0.0,0.8,1.6712381716798985
0.0,0.25,0.8,1.6712381716798985
0.0,0.5,0.8,1.6712381716798985
0.0,0.75,0.8,1.6712381716798985
0.0,1.0,0.8,1.6712381716798985
