alpha,lambda20,kappa,score
0.75,1.0,1.2,1.6478381100297022
0.5,1.0,1.2,1.6518528548252698
0.75,0.75,1.2,1.6617739014354242
0.5,0.75,1.2,1.6694326332007836
0.75,1.0,1.0,1.6701694530350244
0.75,0.5,1.2,1.6805608088345811
0.5,0.5,1.2,1.6882804661948378
0.75,0.75,1.0,1.6893924608883115
0.5,1.0,1.0,1.6966342984431793
0.75,0.25,1.2,1.7035040123347416
0.25,1.0,1.2,1.705702620980419
0.5,0.25,1.2,1.7082418063983613
1.0,1.0,1.0,1.7104097811143366
0.75,0.5,1.0,1.7117745799970057
0.5,0.75,1.0,1.7152000660134818
1.0,0.75,1.0,1.715237325616246
0.25,0.75,1.2,1.7165241054124087
1.0,0.75,1.2,1.719636644123337
1.0,0.5,1.2,1.7241258038924296
0.75,1.0,0.8,1.726467426778637
1.0,1.0,1.2,1.7270587344497772
0.25,0.5,1.2,1.7275173099740129
0.5,0.0,1.2,1.7292934309805266
1.0,0.5,1.0,1.7294924540649086
0.75,0.0,1.2,1.7298881311860506
1.0,1.0,0.8,1.7306869798977753
0.5,0.5,1.0,1.7345580382864147
0.75,0.25,1.0,1.7369196298477705
0.25,0.25,1.2,1.7386468952439904
1.0,0.25,1.2,1.739349172206182
1.0,0.75,0.8,1.7458605746815388
0.75,0.75,0.8,1.748856664411053
0.25,0.0,1.2,1.7499130322511751
1.0,0.25,1.0,1.751112845212296
0.5,0.25,1.0,1.7546527116785984
0.25,1.0,1.0,1.7594080529453175
1.0,0.0,1.2,1.7633833031674078
0.75,0.0,1.0,1.764363583770357
1.0,0.5,0.8,1.7669754659144477
0.25,0.75,1.0,1.769830254051562
0.5,1.0,0.8,1.7710955819630851
0.75,0.5,0.8,1.7731013159826372
0.5,0.0,1.0,1.775225065301863
1.0,0.0,1.0,1.7790064560260048
0.25,0.5,1.0,1.7803278007304857
0.0,0.0,1.2,1.7831744759232104
0.0,0.25,1.2,1.7831744759232104
0.0,0.5,1.2,1.7831744759232104
0.0,0.75,1.2,1.7831744759232104
0.0,1.0,1.2,1.7831744759232104
0.5,0.75,0.8,1.7895079009153814
0.25,0.25,1.0,1.7908879680087293
1.0,0.25,0.8,1.792982342072461
0.75,0.25,0.8,1.798827710524734
0.25,0.0,1.0,1.8015298161741649
1.25,0.75,0.8,1.8041517119197465
1.25,0.5,1.0,1.8073502946284008
0.5,0.5,0.8,1.8081851782391005
1.25,0.5,0.8,1.8083227920150697
1.25,0.25,1.0,1.8127710828244605
1.25,1.0,0.8,1.8144382461299795
1.25,0.75,1.0,1.8190184426269187
1.0,0.0,0.8,1.823279996409512
1.25,0.25,0.8,1.82454614230179
0.75,0.0,0.8,1.8258991378551697
0.5,0.25,0.8,1.827104443540343
1.25,0.25,1.2,1.8315626668189187
1.25,0.0,1.0,1.8321946442318329
0.0,0.0,1.0,1.8370405865408823
0.0,0.25,1.0,1.8370405865408823
0.0,0.5,1.0,1.8370405865408823
0.0,0.75,1.0,1.8370405865408823
0.0,1.0,1.0,1.8370405865408823
0.25,1.0,0.8,1.8388520645500894
1.25,0.5,1.2,1.8396570888332946
1.25,0.0,1.2,1.8418011843762834
0.5,0.0,0.8,1.8462033821203185
0.25,0.75,0.8,1.848426956972332
1.25,0.0,0.8,1.8499033392812108
1.25,1.0,1.0,1.852120325243347
0.25,0.5,0.8,1.857988192934489
0.25,0.25,0.8,1.8675543263642906
1.25,0.75,1.2,1.870135566792898
0.25,0.0,0.8,1.8771083986096866
0.0,0.0,0.8,1.9127402253396406
0.0,0.25,0.8,1.9127402253396406
0.0,0.5,0.8,1.9127402253396406
0.0,0.75,0.8,1.9127402253396406
0.0,1.0,0.8,1.9127402253396406
1.25,1.0,1.2,1.928631359564105
