alpha,lambda20,kappa,score
0.5,1.0,1.2,2.4739387273294415
0.25,1.0,1.2,2.4850698217184886
0.5,0.75,1.2,2.4930038198351
0.25,0.75,1.2,2.4981231167407607
0.25,0.5,1.2,2.5115054741975875
0.5,0.5,1.2,2.5139225657120376
0.25,0.25,1.2,2.5252120825426534
0.75,1.0,1.2,2.5270465594189604
0.5,0.25,1.2,2.5364804110083625
0.0,0.0,1.2,2.5375337285386386
0.0,0.25,1.2,2.5375337285386386
0.0,0.5,1.2,2.5375337285386386
0.0,0.75,1.2,2.5375337285386386
0.0,1.0,1.2,2.5375337285386386
0.75,0.75,1.2,2.5390130769486268
0.25,0.0,1.2,2.5391726706221305
0.5,1.0,1.0,2.540551147863688
0.75,0.5,1.2,2.55732882404857
0.5,0.0,1.2,2.5606620978438963
0.5,0.75,1.0,2.5608815996441447
0.25,1.0,1.0,2.5646372663001094
0.75,1.0,1.0,2.5678874341733113
0.25,0.75,1.0,2.5772866735182576
0.75,0.25,1.2,2.580936552139116
0.5,0.5,1.0,2.582336978611782
0.75,0.75,1.0,2.586046946725058
0.25,0.5,1.0,2.5901230014212886
0.25,0.25,1.0,2.6031457992053157
0.5,0.25,1.0,2.60482865468388
0.75,0.5,1.0,2.608330246548745
0.75,0.0,1.2,2.6093853482475993
0.25,0.0,1.0,2.616328540758336
0.0,0.0,1.0,2.619391449341624
0.0,0.25,1.0,2.619391449341624
0.0,0.5,1.0,2.619391449341624
0.0,0.75,1.0,2.619391449341624
0.0,1.0,1.0,2.619391449341624
0.5,0.0,1.0,2.6283355233533543
0.75,0.25,1.0,2.6340290679718326
0.5,1.0,0.8,2.646646260881257
0.75,1.0,0.8,2.6518337765906925
1.0,0.5,1.2,2.6597888779956103
1.0,0.75,1.2,2.66243432399147
0.75,0.0,1.0,2.6627321654359304
0.5,0.75,0.8,2.666829257922246
1.0,0.25,1.2,2.670782342848511
0.75,0.75,0.8,2.6731208169772094
1.0,0.75,1.0,2.6737842321252376
1.0,1.0,1.0,2.6770665063608554
0.25,1.0,0.8,2.6805939300558483
1.0,1.0,1.2,2.6814218115214015
1.0,0.5,1.0,2.6823572887728973
0.5,0.5,0.8,2.687624667409685
0.25,0.75,0.8,2.6922648266281244
1.0,0.0,1.2,2.693347018355677
0.75,0.5,0.8,2.6968582765484275
1.0,0.25,1.0,2.700377447888347
0.25,0.5,0.8,2.7039849032713166
0.5,0.25,0.8,2.708843447572889
0.25,0.25,0.8,2.7157480212847096
1.0,1.0,0.8,2.7187290111084232
0.75,0.25,0.8,2.722541723761457
1.0,0.0,1.0,2.726200511907649
1.0,0.75,0.8,2.727554170661367
0.25,0.0,0.8,2.7275988842413392
0.5,0.0,0.8,2.7305324182118924
0.0,0.0,0.8,2.7346749132198465
0.0,0.25,0.8,2.7346749132198465
0.0,0.5,0.8,2.7346749132198465
0.0,0.75,0.8,2.7346749132198465
0.0,1.0,0.8,2.7346749132198465
1.0,0.5,0.8,2.743626638987962
0.75,0.0,0.8,2.749883170677702
1.0,0.25,0.8,2.7658197835102065
1.0,0.0,0.8,2.7928590605063044
1.25,0.25,1.0,2.818987132869226
1.25,0.25,1.2,2.823768158577471
1.25,0.0,1.2,2.8246455102377586
1.25,0.5,1.0,2.826413170194869
1.25,0.0,1.0,2.8293709552015893
1.25,0.5,0.8,2.8459224406752703
1.25,0.5,1.2,2.8465353790381998
1.25,0.25,0.8,2.850775257063281
1.25,0.75,1.0,2.8550763684343408
1.25,0.75,0.8,2.8557746646485667
1.25,0.0,0.8,2.867008232615902
1.25,1.0,0.8,2.884330425293168
1.25,0.75,1.2,2.8984895042318586
1.25,1.0,1.0,2.910645641321353
1.25,1.0,1.2,2.985542021808884
