alpha,lambda20,kappa,score
0.75,0.0,1.2,1.5101629553081783
0.5,0.0,1.2,1.5102735240860998
0.5,0.25,1.2,1.512233998061616
0.75,0.25,1.2,1.5135927251471004
0.5,0.5,1.2,1.5153576442782113
0.75,0.5,1.2,1.5196497114547785
0.5,0.75,1.2,1.5196680519824064
1.0,0.0,1.2,1.5225498964096722
0.25,0.0,1.2,1.5229403273125672
0.25,0.25,1.2,1.523756815602684
0.25,0.5,1.2,1.5248271566364595
0.5,1.0,1.2,1.5251540240639012
0.25,0.75,1.2,1.5261835975911682
0.25,1.0,1.2,1.5278076670034237
1.0,0.25,1.2,1.5279135232868226
0.75,0.75,1.2,1.5284782198920157
1.0,0.0,1.0,1.5325012639204345
1.0,0.25,1.0,1.5349600920913884
0.75,0.0,1.0,1.5360876970789008
0.75,0.25,1.0,1.5373448981026205
1.0,0.5,1.2,1.5382381276212151
0.75,1.0,1.2,1.5401318143438434
0.75,0.5,1.0,1.5410669039705571
1.25,0.0,1.0,1.5413041544121315
1.0,0.5,1.0,1.5418604806631606
1.25,0.25,1.0,1.5454056470667732
0.0,0.0,1.2,1.5458677746765184
0.0,0.25,1.2,1.5458677746765184
0.0,0.5,1.2,1.5458677746765184
0.0,0.75,1.2,1.5458677746765184
0.0,1.0,1.2,1.5458677746765184
0.75,0.75,1.0,1.5471848341791026
1.25,0.0,1.2,1.5492501328040202
0.5,0.0,1.0,1.5511648427582994
0.5,0.25,1.0,1.5516865883464566
0.5,0.5,1.0,1.5532054975089487
1.0,0.75,1.0,1.553318580824412
1.0,0.75,1.2,1.55379791719318
0.75,1.0,1.0,1.5557509407696766
0.5,0.75,1.0,1.5558246388273178
1.25,0.5,1.0,1.556894344763601
1.25,0.25,1.2,1.5571489038648212
0.5,1.0,1.0,1.5594273836287837
1.0,1.0,1.0,1.5691473876721094
1.25,0.5,1.2,1.5734794466235467
1.0,1.0,1.2,1.5748406608817993
1.25,0.75,1.0,1.576005756981313
0.25,0.0,1.0,1.5768157148383215
0.25,0.25,1.0,1.576880312824695
0.25,0.5,1.0,1.5771930366437346
0.25,0.75,1.0,1.577755552503322
0.25,1.0,1.0,1.578556660408614
1.25,0.0,0.8,1.5951512591362922
1.25,0.25,0.8,1.5956583752539237
1.25,0.75,1.2,1.598531179164387
1.25,0.5,0.8,1.6019162527615165
1.25,1.0,1.0,1.6025168768178322
1.0,0.25,0.8,1.6049691692381398
1.0,0.0,0.8,1.6053733981484004
1.0,0.5,0.8,1.608277890488946
0.0,0.0,1.0,1.6103323849649425
0.0,0.25,1.0,1.6103323849649425
0.0,0.5,1.0,1.6103323849649425
0.0,0.75,1.0,1.6103323849649425
0.0,1.0,1.0,1.6103323849649425
1.25,0.75,0.8,1.6141714648887446
1.0,0.75,0.8,1.615034610196557
1.0,1.0,0.8,1.6252350278180703
0.75,0.25,0.8,1.6253918612886298
0.75,0.0,0.8,1.626244752792719
0.75,0.5,0.8,1.6264914880800398
0.75,0.75,0.8,1.6295018676214499
1.25,1.0,0.8,1.632206292729253
1.25,1.0,1.2,1.6327750480607404
0.75,1.0,0.8,1.6342620184946122
0.5,0.5,0.8,1.6556537260959463
0.5,0.25,0.8,1.6557658944056475
0.5,0.75,0.8,1.6562909975161688
0.5,0.0,0.8,1.6566510197392381
0.5,1.0,0.8,1.6576404920398675
0.25,1.0,0.8,1.6924500650905092
0.25,0.75,0.8,1.6925430674218462
0.25,0.5,0.8,1.6927972513370135
0.25,0.25,0.8,1.6932107750050638
0.25,0.0,0.8,1.6937785869332498
0.0,0.0,0.8,1.7348734823183165
0.0,0.25,0.8,1.7348734823183165
0.0,0.5,0.8,1.7348734823183165
0.0,0.75,0.8,1.7348734823183165
0.0,1.0,0.8,1.7348734823183165
