alpha,lambda20,kappa,score
0.5,0.5,1.0,1.2776478533478866
0.5,0.25,1.0,1.2776577981471404
0.75,0.25,1.0,1.2780737532141713
0.5,0.75,1.0,1.27883996627806
0.5,0.0,1.0,1.278880228340272
0.75,0.5,1.0,1.2795050693639878
0.75,0.0,1.0,1.2795379287285682
0.5,1.0,1.0,1.2812476530024537
0.25,0.75,1.0,1.282550190676997
0.25,0.5,1.0,1.282687628776414
0.25,1.0,1.0,1.282692534317337
0.25,0.25,1.0,1.2831292400093974
0.75,0.75,1.0,1.2837463018214588
0.25,0.0,1.0,1.283889679733021
1.0,0.25,1.0,1.2846907733204853
1.0,0.0,1.0,1.2860572969908612
1.0,0.5,1.0,1.2887055680103874
0.5,0.25,1.2,1.2908015966452775
0.75,1.0,1.0,1.290895810341522
0.5,0.0,1.2,1.2912636589841355
0.75,0.25,1.2,1.2913094889165277
0.75,0.0,1.2,1.2915367767495485
0.5,0.5,1.2,1.2918162419021142
0.0,0.0,1.0,1.294106054030601
0.0,0.25,1.0,1.294106054030601
0.0,0.5,1.0,1.294106054030601
0.0,0.75,1.0,1.294106054030601
0.0,1.0,1.0,1.294106054030601
0.5,0.75,1.2,1.2942808445495222
0.75,0.5,1.2,1.2945271833673047
0.25,0.25,1.2,1.2973791431506463
0.25,0.5,1.2,1.2973832046819787
0.25,0.75,1.2,1.2977298014588523
0.25,0.0,1.2,1.2977540455479697
1.25,0.25,1.0,1.2979252728597477
1.0,0.75,1.0,1.2981286979715974
0.5,1.0,1.2,1.2981699587068898
0.25,1.0,1.2,1.2984165696394794
1.25,0.0,1.0,1.298543287259185
1.0,0.0,1.2,1.2985444289540482
1.0,0.25,1.2,1.2992302909515407
0.75,0.75,1.2,1.3011219663636453
0.5,0.75,0.8,1.3049205987712182
0.5,0.5,0.8,1.3051110574453884
0.5,1.0,0.8,1.3057071991529525
1.0,0.5,1.2,1.3060390957290702
1.25,0.5,1.0,1.3060655080721686
0.75,0.5,0.8,1.306083763114734
0.5,0.25,0.8,1.306327134615854
0.75,0.25,0.8,1.3066296030390274
0.75,0.75,0.8,1.3078241851139414
0.5,0.0,0.8,1.3085157748435645
0.25,1.0,0.8,1.3085559264035806
0.25,0.75,0.8,1.309025592538898
0.75,0.0,0.8,1.3094312042031573
0.25,0.5,0.8,1.3097327379576709
0.25,0.25,0.8,1.310677844459674
0.0,0.0,1.2,1.3108459197279605
0.0,0.25,1.2,1.3108459197279605
0.0,0.5,1.2,1.3108459197279605
0.0,0.75,1.2,1.3108459197279605
0.0,1.0,1.2,1.3108459197279605
0.75,1.0,1.2,1.311038139808624
0.75,1.0,0.8,1.311798743923604
0.25,0.0,0.8,1.3118446544614082
1.0,0.25,0.8,1.311947754315347
1.0,1.0,1.0,1.3127138554010964
1.0,0.5,0.8,1.3128949349609123
1.25,0.0,1.2,1.3129758463958972
1.0,0.0,0.8,1.3150683344851157
1.25,0.25,1.2,1.3151397858771943
1.0,0.75,0.8,1.3179843829844382
0.0,0.0,0.8,1.3187526218123558
0.0,0.25,0.8,1.3187526218123558
0.0,0.5,0.8,1.3187526218123558
0.0,0.75,0.8,1.3187526218123558
0.0,1.0,0.8,1.3187526218123558
1.0,0.75,1.2,1.3191172050291862
1.25,0.25,0.8,1.3220997930294793
1.25,0.75,1.0,1.3228547903444414
1.25,0.0,0.8,1.3252973355008846
1.25,0.5,0.8,1.3256083486325794
1.0,1.0,0.8,1.3271557994343897
1.25,0.5,1.2,1.3272192115973267
1.25,0.75,0.8,1.3360066359348601
1.0,1.0,1.2,1.3383263747414438
1.25,1.0,1.0,1.347893892961891
1.25,0.75,1.2,1.3492751871066202
1.25,1.0,0.8,1.3529933811622221
1.25,1.0,1.2,1.381332130644297
