alpha,lambda20,kappa,score
0.5,0.0,1.0,1.2884599332194726
0.5,0.25,1.0,1.2887869584682214
0.25,0.0,1.0,1.288981098672595
0.25,0.25,1.0,1.2890448132947405
0.25,0.5,1.0,1.2894324403293336
0.25,0.75,1.0,1.2901384200397967
0.5,0.5,1.0,1.2904280457268489
0.25,1.0,1.0,1.2911614941353178
0.5,0.75,1.0,1.2933198478177452
0.75,0.0,1.0,1.2935427690862797
0.75,0.25,1.0,1.2944045730289926
0.0,0.0,1.0,1.2946506823057018
0.0,0.25,1.0,1.2946506823057018
0.0,0.5,1.0,1.2946506823057018
0.0,0.75,1.0,1.2946506823057018
0.0,1.0,1.0,1.2946506823057018
0.5,1.0,1.0,1.29744751630632
0.75,0.5,1.0,1.2981781952592788
1.0,0.0,1.0,1.3047818647313467
0.75,0.75,1.0,1.3047984100512915
0.25,0.25,0.8,1.304913633190978
0.25,0.0,0.8,1.3050226921049013
0.25,0.5,0.8,1.3050502907267552
0.25,0.75,0.8,1.3054135828466258
0.25,1.0,0.8,1.30600225851885
1.0,0.25,1.0,1.3064218281210616
0.5,0.25,0.8,1.3067841203135941
0.5,0.0,0.8,1.3069311324804038
0.0,0.0,0.8,1.3072500484109781
0.0,0.25,0.8,1.3072500484109781
0.0,0.5,0.8,1.3072500484109781
0.0,0.75,0.8,1.3072500484109781
0.0,1.0,0.8,1.3072500484109781
0.5,0.5,0.8,1.3075980363576198
0.5,0.75,0.8,1.3093816736688373
0.5,0.0,1.2,1.3112070034891408
0.5,0.25,1.2,1.3121041765761619
0.5,1.0,0.8,1.312152709021183
0.75,0.25,0.8,1.3129745546475315
0.75,0.0,0.8,1.3130199570026175
1.0,0.5,1.0,1.3134061700225332
0.25,0.0,1.2,1.313575745063689
0.25,0.25,1.2,1.3139299786962906
0.75,1.0,1.0,1.3142501960258055
0.5,0.5,1.2,1.3144845569302954
0.25,0.5,1.2,1.3146487284916109
0.75,0.5,0.8,1.315183323084782
0.75,0.0,1.2,1.315718178999225
0.25,0.75,1.2,1.3157267299676931
0.25,1.0,1.2,1.3171601988054897
0.75,0.25,1.2,1.3174453681920903
0.5,0.75,1.2,1.3183456095758017
0.75,0.75,0.8,1.3196898678149092
0.0,0.0,1.2,1.3223493169819098
0.0,0.25,1.2,1.3223493169819098
0.0,0.5,1.2,1.3223493169819098
0.0,0.75,1.2,1.3223493169819098
0.0,1.0,1.2,1.3223493169819098
1.25,0.0,1.0,1.3224244116893193
0.75,0.5,1.2,1.322640672091937
1.0,0.0,0.8,1.3233785087750891
0.5,1.0,1.2,1.323703465755736
1.0,0.25,0.8,1.323704158508739
1.25,0.25,1.0,1.325112331597175
1.0,0.75,1.0,1.3254936173521292
0.75,1.0,0.8,1.3264664487263744
1.0,0.0,1.2,1.3273880032333079
1.0,0.5,0.8,1.3281281818037909
1.0,0.25,1.2,1.3302857571064743
0.75,0.75,1.2,1.331296577225333
1.25,0.5,1.0,1.3362821922969212
1.0,0.75,0.8,1.3368047977366722
1.25,0.0,0.8,1.3385343501750824
1.25,0.25,0.8,1.339511798005035
1.0,0.5,1.2,1.3395510763744505
1.0,1.0,1.0,1.3427756754308413
0.75,1.0,1.2,1.3433516642457577
1.25,0.0,1.2,1.3463720744951442
1.25,0.5,0.8,1.3471771882669539
1.0,1.0,0.8,1.3495248404757854
1.25,0.25,1.2,1.3508615907407477
1.0,0.75,1.2,1.3549043475683258
1.25,0.75,1.0,1.3557675817538601
1.25,0.75,0.8,1.361572136017192
1.25,0.5,1.2,1.3653495880304132
1.0,1.0,1.2,1.376393842820025
1.25,1.0,0.8,1.3824004285577354
1.25,1.0,1.0,1.383739778521821
1.25,0.75,1.2,1.3896847267224852
1.25,1.0,1.2,1.4240899935264322
