alpha,lambda20,kappa,score
0.75,0.25,0.8,0.3794900604094117
0.75,0.5,0.8,0.37959295221095357
0.75,0.0,0.8,0.37996005014547357
1.0,0.25,0.8,0.37998286562970185
0.75,0.5,1.0,0.380225118903799
0.75,0.75,0.8,0.38023117844590737
0.5,0.5,0.8,0.38028319434526175
0.5,0.25,0.8,0.3803269744323699
1.0,0.5,0.8,0.38036054395663665
0.75,0.25,1.0,0.38038000845501363
0.5,0.75,0.8,0.38046564726089727
0.5,0.5,1.0,0.38053577525521837
0.5,0.75,1.0,0.3805572389615779
1.0,0.0,0.8,0.3806031945619565
0.5,0.0,0.8,0.380617035797253
0.75,0.75,1.0,0.3807251292853891
0.5,0.25,1.0,0.38080151710712
0.5,1.0,1.0,0.38087476196170067
0.5,1.0,0.8,0.38089300425308903
0.75,0.0,1.0,0.38121871465730733
0.5,0.0,1.0,0.3813578000805335
0.75,1.0,0.8,0.3814180684652218
1.0,0.25,1.0,0.3816427995743974
1.0,0.75,0.8,0.3817222845210984
1.0,0.5,1.0,0.3817689499719063
1.25,0.25,0.8,0.3818647486694707
0.75,1.0,1.0,0.3818971306792746
0.25,0.75,0.8,0.3823385290010121
0.25,0.5,0.8,0.38235789784904667
0.25,1.0,1.0,0.3823613605502421
0.25,1.0,0.8,0.3823791230132867
0.25,0.75,1.0,0.38242787485688295
0.25,0.25,0.8,0.38243086986818964
0.25,0.0,0.8,0.382561754822212
0.25,0.5,1.0,0.3825621276006
1.25,0.0,0.8,0.382677124927968
1.25,0.5,0.8,0.3826852313741648
0.25,0.25,1.0,0.38276707034343005
1.0,0.0,1.0,0.38279092253564795
0.25,0.0,1.0,0.38303897775539436
1.0,0.75,1.0,0.38310078068124065
1.0,1.0,0.8,0.38407974666333866
1.25,0.25,1.0,0.38465089966222943
1.25,0.75,0.8,0.38507204957776536
1.25,0.5,1.0,0.3852609671343031
1.0,1.0,1.0,0.3856339722341935
0.0,0.0,0.8,0.3856618977660869
0.0,0.25,0.8,0.3856618977660869
0.0,0.5,0.8,0.3856618977660869
0.0,0.75,0.8,0.3856618977660869
0.0,1.0,0.8,0.3856618977660869
1.25,0.0,1.0,0.3861111641663878
0.0,0.0,1.0,0.3861924745442497
0.0,0.25,1.0,0.3861924745442497
0.0,0.5,1.0,0.3861924745442497
0.0,0.75,1.0,0.3861924745442497
0.0,1.0,1.0,0.3861924745442497
1.25,0.75,1.0,0.3878260899377703
1.25,1.0,0.8,0.38903395647686473
0.5,0.75,1.2,0.39107363304152665
0.5,0.5,1.2,0.39116427460801834
0.5,1.0,1.2,0.3913051522533624
0.75,0.5,1.2,0.39131393918653945
0.5,0.25,1.2,0.39159692236203236
0.75,0.25,1.2,0.39169745275909074
0.75,0.75,1.2,0.39172811806289864
1.25,1.0,1.0,0.39226557542780843
0.5,0.0,1.2,0.39239283615779763
0.25,1.0,1.2,0.3927084227383016
0.25,0.75,1.2,0.39284454449324113
0.75,1.0,1.2,0.39290647033332227
0.75,0.0,1.2,0.3929153697942485
0.25,0.5,1.2,0.39306126174701816
0.25,0.25,1.2,0.39336080282513497
1.0,0.5,1.2,0.3936259009849223
0.25,0.0,1.2,0.3937488932539332
1.0,0.25,1.2,0.3937494051787271
1.0,0.75,1.2,0.39494198567172656
1.0,0.0,1.2,0.39540343290919355
0.0,0.0,1.2,0.39693364043568446
0.0,0.25,1.2,0.39693364043568446
0.0,0.5,1.2,0.39693364043568446
0.0,0.75,1.2,0.39693364043568446
0.0,1.0,1.2,0.39693364043568446
1.0,1.0,1.2,0.3976929842517432
1.25,0.25,1.2,0.397930975129074
1.25,0.5,1.2,0.39828234076043895
1.25,0.0,1.2,0.40003151284945215
1.25,0.75,1.2,0.4009556522366055
1.25,1.0,1.2,0.4059426610677855
