alpha,lambda20,kappa,score
0.5,0.5,0.8,0.3966329723264115
0.5,0.25,0.8,0.3966893269935861
0.75,0.25,0.8,0.3968400521081266
0.5,0.75,0.8,0.3968520518174989
0.5,0.0,0.8,0.39701971817571063
0.75,0.5,0.8,0.39706211070430936
0.75,0.0,0.8,0.3972786861209991
0.5,1.0,0.8,0.39734990532798814
0.25,0.75,0.8,0.39764254069547494
0.5,0.25,1.0,0.39764792580696395
0.25,1.0,0.8,0.39765277168117413
0.25,0.5,0.8,0.3976994525290079
0.5,0.5,1.0,0.39779761454096535
0.25,0.25,0.8,0.39782348375154375
0.5,0.0,1.0,0.397852459263059
0.75,0.75,0.8,0.39792305307047177
0.25,0.0,0.8,0.3980156104482101
0.75,0.25,1.0,0.39807397333235534
0.75,0.0,1.0,0.39826516585703203
0.5,0.75,1.0,0.3983121521169396
1.0,0.25,0.8,0.3984013652564749
0.75,0.5,1.0,0.39874221831433565
1.0,0.0,0.8,0.39883716733468405
0.25,0.5,1.0,0.39890081751175344
0.25,0.75,1.0,0.3989411072189303
0.25,0.25,1.0,0.39894860717861835
0.25,1.0,1.0,0.39906468119809446
0.25,0.0,1.0,0.399079350293065
1.0,0.5,0.8,0.3991624226314692
0.5,1.0,1.0,0.3991839679807273
0.75,1.0,0.8,0.39944680495741774
0.0,0.0,0.8,0.4001691996035919
0.0,0.25,0.8,0.4001691996035919
0.0,0.5,0.8,0.4001691996035919
0.0,0.75,0.8,0.4001691996035919
0.0,1.0,0.8,0.4001691996035919
0.75,0.75,1.0,0.40024296105494195
1.0,0.25,1.0,0.4003872090492513
1.0,0.0,1.0,0.40041171989597907
1.0,0.75,0.8,0.4011806699251639
1.25,0.25,0.8,0.40155536607381714
0.0,0.0,1.0,0.40180423375066976
0.0,0.25,1.0,0.40180423375066976
0.0,0.5,1.0,0.40180423375066976
0.0,0.75,1.0,0.40180423375066976
0.0,1.0,1.0,0.40180423375066976
1.25,0.0,0.8,0.40186708920758124
1.0,0.5,1.0,0.40192384082841337
0.75,1.0,1.0,0.4025665052117714
1.25,0.5,0.8,0.40326313259992036
1.0,1.0,0.8,0.40446076955144233
1.25,0.0,1.0,0.40446694454017745
1.25,0.25,1.0,0.4047549190088862
1.0,0.75,1.0,0.4049772966554535
1.25,0.75,0.8,0.4069973998813653
1.25,0.5,1.0,0.4075678466819439
0.5,0.25,1.2,0.4087225311591253
0.5,0.0,1.2,0.4087526247772626
0.5,0.5,1.2,0.40912254862759295
0.75,0.0,1.2,0.40933434073605607
0.75,0.25,1.2,0.40947642112231397
1.0,1.0,1.0,0.40958335732106504
0.5,0.75,1.2,0.4099414770389701
0.25,0.25,1.2,0.4100342865207754
0.25,0.5,1.2,0.4100738354216303
0.25,0.0,1.2,0.4100932307383976
0.25,0.75,1.2,0.41021923290592843
0.25,1.0,1.2,0.41046839888793546
0.75,0.5,1.2,0.410602774281716
0.5,1.0,1.2,0.4111833383944712
1.0,0.0,1.2,0.4120171432804968
1.0,0.25,1.2,0.41247643311822985
0.75,0.75,1.2,0.4127012991417868
1.25,1.0,0.8,0.4127692031064101
1.25,0.75,1.0,0.4128590778288323
0.0,0.0,1.2,0.4132892141357283
0.0,0.25,1.2,0.4132892141357283
0.0,0.5,1.2,0.4132892141357283
0.0,0.75,1.2,0.4132892141357283
0.0,1.0,1.2,0.4132892141357283
1.0,0.5,1.2,0.41473289749283426
0.75,1.0,1.2,0.41576795491183477
1.25,0.0,1.2,0.41702768112216976
1.25,0.25,1.2,0.4179369046231674
1.0,0.75,1.2,0.4188007539573631
1.25,1.0,1.0,0.42069712409215565
1.25,0.5,1.2,0.42178692752709407
1.0,1.0,1.2,0.42467009777099046
1.25,0.75,1.2,0.4285757890321217
1.25,1.0,1.2,0.43831911443348653
