alpha,lambda20,kappa,score
0.25,0.0,0.8,0.8546390837849763
0.25,0.25,0.8,0.8548872112576842
0.25,0.5,0.8,0.8552781659484228
0.5,0.0,0.8,0.8556505689163632
0.25,0.75,0.8,0.8558242896362521
0.5,0.25,0.8,0.8561513650226146
0.25,1.0,0.8,0.8565328375282844
0.0,0.0,0.8,0.8569472287919385
0.0,0.25,0.8,0.8569472287919385
0.0,0.5,0.8,0.8569472287919385
0.0,0.75,0.8,0.8569472287919385
0.0,1.0,0.8,0.8569472287919385
0.5,0.5,0.8,0.8572709177129441
0.5,0.75,0.8,0.8589969701790531
0.75,0.0,0.8,0.8602137902566376
0.25,0.0,1.0,0.860713750256217
0.25,0.25,1.0,0.8607158450639024
0.25,0.5,1.0,0.8609172031408736
0.75,0.25,0.8,0.8609454546235387
0.25,0.75,1.0,0.8613098101668215
0.5,1.0,0.8,0.8613487420259147
0.25,1.0,1.0,0.8618679792909396
0.0,0.0,1.0,0.8624961847158087
0.0,0.25,1.0,0.8624961847158087
0.0,0.5,1.0,0.8624961847158087
0.0,0.75,1.0,0.8624961847158087
0.0,1.0,1.0,0.8624961847158087
0.5,0.25,1.0,0.8629357873750976
0.5,0.0,1.0,0.8629548538280692
0.75,0.5,0.8,0.8631193630812862
0.5,0.5,1.0,0.8636632188959295
0.5,0.75,1.0,0.8651529685553012
0.75,0.75,0.8,0.8666870687850842
0.5,1.0,1.0,0.8673611562205815
1.0,0.0,0.8,0.8682524622425094
1.0,0.25,0.8,0.8692077087147521
0.75,0.25,1.0,0.8692491190814305
0.75,0.0,1.0,0.8692651913612234
0.75,0.5,1.0,0.8709262588413225
0.75,1.0,0.8,0.8716522680725897
1.0,0.5,0.8,0.8727726670556211
0.75,0.75,1.0,0.874298014121127
1.0,0.75,0.8,0.8788630472101465
0.75,1.0,1.0,0.8793151094521959
1.0,0.25,1.0,0.8797736703449495
1.0,0.0,1.0,0.8798037420524755
1.25,0.0,0.8,0.8798351283490753
1.25,0.25,0.8,0.8809900488369551
1.0,0.5,1.0,0.8828862021178467
1.25,0.5,0.8,0.8863955371744235
1.0,1.0,0.8,0.8873565281901268
1.0,0.75,1.0,0.8890994695751905
0.25,0.5,1.2,0.8922557614905191
0.25,0.25,1.2,0.8923228453612743
0.25,0.75,1.2,0.8924114633185595
0.25,0.0,1.2,0.8926087698818047
0.25,1.0,1.2,0.8927889321082455
0.0,0.0,1.2,0.8939310741076523
0.0,0.25,1.2,0.8939310741076523
0.0,0.5,1.2,0.8939310741076523
0.0,0.75,1.2,0.8939310741076523
0.0,1.0,1.2,0.8939310741076523
1.25,0.25,1.0,0.894898041981607
1.25,0.0,1.0,0.8949718225919016
0.5,0.25,1.2,0.8953937308527301
1.25,0.75,0.8,0.8957241539066492
0.5,0.5,1.2,0.895724389573706
0.5,0.0,1.2,0.895939149124171
0.5,0.75,1.2,0.8969390956592377
1.0,1.0,1.0,0.8982778701300825
0.5,1.0,1.2,0.8989897951453578
1.25,0.5,1.0,0.8999091090968724
0.75,0.25,1.2,0.903069042511531
0.75,0.0,1.2,0.9038975377284933
0.75,0.5,1.2,0.9043073988174483
0.75,0.75,1.2,0.9075034937419054
1.25,1.0,0.8,0.9089030511081776
1.25,0.75,1.0,0.9098658778183205
0.75,1.0,1.2,0.912613065048342
1.0,0.25,1.2,0.9157559663579012
1.0,0.0,1.2,0.9169201520499384
1.0,0.5,1.2,0.9183855932413826
1.25,1.0,1.0,0.9244246403566836
1.0,0.75,1.2,0.9245793894625458
1.25,0.25,1.2,0.933893753876935
1.0,1.0,1.2,0.9342211671627004
1.25,0.0,1.2,0.9353595574832393
1.25,0.5,1.2,0.938450122484898
1.25,0.75,1.2,0.9487157014312613
1.25,1.0,1.2,0.9647065789450116
