origin_year,rows,origin_days,mean_delta_pct
2020,79028,167,0.015256641566175844
2025,122227,250,0.010473936226431694
2021,119974,252,0.003782867565908577
2023,120949,250,0.003659047529508106
2024,122368,252,0.0030280542183629563
2026,78490,160,4.641265856707615e-05
2022,120899,251,-0.0015016626577331062
