fold_id,rows,origin_days,mean_delta_pct
0,146312,316,0.01922978871713001
4,150760,316,0.007464799777542326
2,148984,316,0.005240442435572163
3,149567,316,0.003815744656254844
1,147880,316,-0.007091448299576477
