asset_id,rows,origin_days,mean_delta_pct
238,1365,1365,0.0775973522765737
146,1315,1315,0.06947731217499682
345,1325,1325,0.0629671829862085
492,1306,1306,0.05931105031427551
414,1408,1408,0.05893899563598983
420,1325,1325,0.057104392022035
139,1335,1335,0.0560845859839024
221,1325,1325,0.05506584772597526
64,1575,1575,0.05445566137653776
459,1575,1575,0.053959971475439863
220,1325,1325,0.053199776469084414
466,1325,1325,0.05300863925333609
320,1325,1325,0.05054234401215429
141,1575,1575,0.049251299294930814
269,477,477,0.04708345141634628
207,1355,1355,0.04637616348336605
45,1325,1325,0.046330903683128775
212,282,282,0.044889913535190645
260,1575,1575,0.04378402627381768
211,552,552,0.043524977087699396
195,1325,1325,0.04340890167136335
457,1575,1575,0.04297648506193939
171,1255,1255,0.04282265968751288
359,1332,1332,0.04173630514764952
426,1325,1325,0.04119642843906947
350,1575,1575,0.04002600536287154
63,1320,1320,0.03976576204934569
397,1320,1320,0.03959632682818759
73,1315,1315,0.03866632903196494
400,1355,1355,0.03860330870067122
189,1575,1575,0.038064269386158193
277,1310,1310,0.037837195133338324
237,1395,1395,0.03777391527855873
289,1575,1575,0.03714588395060166
502,1315,1315,0.0368506578748141
474,1325,1325,0.03670146176447841
385,1365,1365,0.036476952887944745
429,1465,1465,0.036472647343872316
375,1325,1325,0.03636615662983179
62,1325,1325,0.03624832133196208
194,1373,1373,0.03617383634759063
110,1325,1325,0.03552539959320445
226,1331,1331,0.034963873529374176
312,1465,1465,0.03408230383301433
461,1426,1426,0.033778626780086904
182,940,940,0.033612491079842134
128,1575,1575,0.03342100969269668
357,1555,1555,0.03330608506481043
389,815,815,0.03329602856094451
231,1325,1325,0.03239357794403721
35,1325,1325,0.032242142808160686
428,1325,1325,0.03201749089906467
202,1565,1565,0.03184310344600097
250,1575,1575,0.03138117533775827
37,1325,1325,0.031368874260011274
161,1318,1318,0.031298930933975753
311,1575,1575,0.030642513295010786
29,1325,1325,0.030636407039083862
270,1325,1325,0.030568119465996652
390,1326,1326,0.030507233915232856
489,1316,1316,0.03050316827930361
11,1325,1325,0.030461428137733816
150,1325,1325,0.030423074840888326
123,1325,1325,0.030290753457295348
382,1325,1325,0.03028399875989261
242,1325,1325,0.030245221393798594
218,1325,1325,0.030160108140972253
200,1565,1565,0.029996569473330976
476,1325,1325,0.02998270564725158
228,1216,1216,0.029866673121861538
406,1325,1325,0.029728839681538156
490,1325,1325,0.029659474690656207
105,1355,1355,0.029293446763360098
196,1325,1325,0.029135872172204914
310,1322,1322,0.02897943867422141
442,1325,1325,0.02887647834087928
28,1325,1325,0.02871217011329104
441,1325,1325,0.02859138700998591
8,1325,1325,0.028382825480240785
180,1325,1325,0.028336040607441028
272,1575,1575,0.028159448169101577
422,1325,1325,0.02796501424276581
208,1325,1325,0.027919128171704298
246,1575,1575,0.027894017859378836
402,1315,1315,0.02778176447281574
451,1320,1320,0.027680747991353245
81,1575,1575,0.027233977405757
13,1575,1575,0.027154217937817055
120,1319,1319,0.027108152799996836
349,1325,1325,0.026986822987353255
282,1315,1315,0.026938855123235867
405,1322,1322,0.0267305746678908
336,1325,1325,0.026572602372532117
443,1347,1347,0.02646700377643998
278,1325,1325,0.02641910771421165
95,1322,1322,0.02594895542916488
235,1300,1300,0.025940621787068758
296,1325,1325,0.025917833505262562
174,1321,1321,0.025753002212057462
236,1325,1325,0.025706888323838578
132,1404,1404,0.025460357433212122
471,1575,1575,0.025390414176212562
491,1515,1515,0.025246615120436564
172,1385,1385,0.025235277884711076
258,1324,1324,0.025076259652710577
372,1325,1325,0.0250239517899214
92,1325,1325,0.02497330023759662
424,1325,1325,0.02484319095668193
97,1575,1575,0.024611598639683607
475,1318,1318,0.02460845956396852
152,1325,1325,0.02457592154446669
83,1325,1325,0.024491667423554964
121,1245,1245,0.0243597817068727
294,1575,1575,0.02427130368808167
88,1325,1325,0.02412875298152014
249,1377,1377,0.024050534939090765
255,1308,1308,0.024033929596768824
297,1321,1321,0.023977902528232523
31,1316,1316,0.023972817190594426
111,1326,1326,0.023707741686301076
147,1565,1565,0.02367280849148335
268,1325,1325,0.023588649294439067
107,1328,1328,0.02355057681031666
21,1475,1475,0.023534066449555135
227,1335,1335,0.023311227613969535
178,1345,1345,0.023208858528454536
96,1320,1320,0.02316520861813944
326,1320,1320,0.023095781614357186
380,1325,1325,0.023047694314200895
322,1318,1318,0.023033192265437968
274,1335,1335,0.02301864228066125
36,1345,1345,0.022938194132043233
344,1575,1575,0.022920066166912632
30,1320,1320,0.022856667243148283
378,1575,1575,0.02275895130529618
298,1402,1402,0.0226809685743821
65,1325,1325,0.02244239522369639
20,1475,1475,0.022330951199077475
447,1335,1335,0.02230611029302979
203,1305,1305,0.02230265099536278
148,1320,1320,0.022243571158957535
370,1321,1321,0.022127072412254225
40,1322,1322,0.022050421595868244
209,1575,1575,0.021997183060081537
295,1324,1324,0.02194756208930608
463,1355,1355,0.02163522444547515
478,1317,1317,0.02153202541438504
27,1325,1325,0.021452574356273835
264,1325,1325,0.02140960788265552
323,1325,1325,0.021327033713145555
10,1325,1325,0.02121983996332151
5,1345,1345,0.021117468218312674
291,1321,1321,0.021098673522323003
376,1325,1325,0.021090317165267006
168,1325,1325,0.02107368373424337
394,1325,1325,0.02101786123773
493,1317,1317,0.020935257427393324
169,1320,1320,0.020925984038784578
381,1325,1325,0.020692032388072445
319,1325,1325,0.020384333126905015
281,1395,1395,0.020383669984136994
241,1325,1325,0.02025563532900232
34,1311,1311,0.020059620604557692
145,1445,1445,0.020017696421517663
39,1311,1311,0.020016347541116725
450,1575,1575,0.019992673650716396
302,1334,1334,0.019938333991655108
391,1510,1510,0.019811299228485683
156,1325,1325,0.01977820202042295
399,1325,1325,0.019657882926558786
126,1555,1555,0.01964275619993724
244,1319,1319,0.01952539531142988
191,1325,1325,0.019456144171557735
498,1325,1325,0.019411803827772717
24,1335,1335,0.019410835374360707
371,1325,1325,0.019410116769290362
480,1321,1321,0.019288188563791414
106,1325,1325,0.019255860682226286
408,1315,1315,0.01921703256119511
360,1317,1317,0.01910414778060283
257,1565,1565,0.019081357316574243
247,1325,1325,0.01907847705512682
328,1325,1325,0.019049534684079123
163,1575,1575,0.01900662884037255
409,1565,1565,0.018997770815601493
229,1575,1575,0.018996758719413177
38,1322,1322,0.018943369244734495
500,1325,1325,0.018910815368089393
248,1575,1575,0.018831922511020702
129,1320,1320,0.018737210468689362
254,1325,1325,0.018733135469059824
166,1565,1565,0.018652408617876495
479,1295,1295,0.018593774789998314
149,1325,1325,0.018543732991379902
58,1325,1325,0.01852953289574427
499,1325,1325,0.01841376851562414
158,1316,1316,0.01824950344952304
439,1325,1325,0.01818369666068731
369,1325,1325,0.01817836694358903
192,1315,1315,0.018090680555228125
327,1315,1315,0.017998048968702256
434,1316,1316,0.017930689110075605
503,1325,1325,0.017858270176943077
288,1325,1325,0.01785137130433637
102,1345,1345,0.017807954915094515
430,1317,1317,0.017798762528314253
119,1318,1318,0.01776027870019418
427,1575,1575,0.017757582318330595
307,1325,1325,0.017690794117707298
167,1325,1325,0.017646067230527366
453,1325,1325,0.017604737819790967
418,1425,1425,0.017557873050210386
17,1345,1345,0.0174426434496043
160,1305,1305,0.01740504536990982
454,1325,1325,0.01739839129090542
118,1325,1325,0.01734649619474912
188,1325,1325,0.017233595971960385
337,1322,1322,0.01693657726838071
114,1325,1325,0.016926396892229946
91,1575,1575,0.016913152272553033
239,1325,1325,0.016908368931692928
304,1315,1315,0.01690511485901671
283,1445,1445,0.01688583288577315
125,1495,1495,0.016841993439161557
300,1325,1325,0.0166557620149983
316,1325,1325,0.01653571226934446
365,1465,1465,0.01636400625085957
1,1314,1314,0.016301922611950098
225,1325,1325,0.01629563719041329
315,1322,1322,0.016167163268940722
374,1315,1315,0.016014901748437334
276,1316,1316,0.01592092622418353
354,1258,1258,0.015917952300139964
395,1325,1325,0.015816961468437165
368,1325,1325,0.015815653595743613
165,1325,1325,0.015791481276284908
233,1325,1325,0.015617752034772552
464,1318,1318,0.015607698651172773
266,1325,1325,0.015535278821697553
261,1325,1325,0.01551267096336745
215,1325,1325,0.015504358898696608
181,1317,1317,0.015284909106447647
262,1322,1322,0.015259864741580845
170,1315,1315,0.015211240682483976
487,1321,1321,0.015155367586686227
448,1535,1535,0.0149989582893419
253,1325,1325,0.014959294672356217
346,1565,1565,0.014938882999740236
481,1327,1327,0.014850186895031835
18,1325,1325,0.014784774605337444
411,1325,1325,0.014737637447532089
122,1325,1325,0.014727193214765405
468,1521,1521,0.014643977318760477
138,1318,1318,0.014594646057489826
377,1325,1325,0.014562868541413131
54,1325,1325,0.01449185064186216
416,343,343,0.014457485059680013
299,1325,1325,0.014378785834318474
303,1325,1325,0.014329147056495605
53,1575,1575,0.014281112739730832
456,1319,1319,0.014246934633624824
355,1325,1325,0.014244601977305168
486,1575,1575,0.0141922709206872
198,1323,1323,0.014092029800845701
398,1311,1311,0.014005517743479098
305,1325,1325,0.013864091259375481
131,1305,1305,0.013806797392452151
363,1325,1325,0.01370516277553093
224,1325,1325,0.013688986473888042
482,1320,1320,0.013605877349246138
383,1325,1325,0.013577992154324555
134,1325,1325,0.013556297984780006
159,1320,1320,0.013502608271335207
366,1325,1325,0.013496016184963221
259,1319,1319,0.013475196977250895
339,1325,1325,0.01330665653062387
42,1575,1575,0.013279229144431103
144,1385,1385,0.013267107364810276
386,1319,1319,0.012968060634889408
413,1320,1320,0.012714500617805505
69,1575,1575,0.012685984011577335
101,1565,1565,0.012679771810842375
127,1325,1325,0.012674525083897851
43,1565,1565,0.012649242637390735
179,1320,1320,0.012486902170247095
76,1321,1321,0.012329814527209928
483,1515,1515,0.012306443760051312
3,1325,1325,0.012112118539387559
287,1320,1320,0.011997596751663474
26,1322,1322,0.01199306483648422
183,1515,1515,0.011962475340327723
332,1455,1455,0.011853277319873776
90,1345,1345,0.01181421200467212
223,1325,1325,0.011748493225966274
465,1575,1575,0.011743170860658184
446,1314,1314,0.011672086158337674
94,1575,1575,0.011649673573312288
273,1325,1325,0.011641481549060414
155,1325,1325,0.01162891909829781
72,1325,1325,0.01157321157569929
9,1321,1321,0.01156679950887279
263,1320,1320,0.011506959136943003
185,1315,1315,0.011487676705605956
32,1325,1325,0.011464255712179152
135,1315,1315,0.01144389220019642
77,1575,1575,0.011387325299018536
449,1325,1325,0.011366717368233569
488,1322,1322,0.011220827029889613
388,1320,1320,0.011214136330029226
347,1325,1325,0.011160129521523607
162,1325,1325,0.011068852619948128
75,1322,1322,0.011015591974585119
373,1325,1325,0.010909266984117125
387,346,346,0.010896024550950883
93,1249,1249,0.010815645818106895
205,1455,1455,0.010668388787943994
206,1325,1325,0.010649977791916595
342,1325,1325,0.010519124097545504
153,1325,1325,0.010369295303594771
325,1325,1325,0.010340764648719416
74,1325,1325,0.010334528089815852
419,1325,1325,0.010258167318288778
232,1403,1403,0.010253020109921136
109,1325,1325,0.01009589782411885
124,746,746,0.009961302835188247
25,1325,1325,0.009870419129109369
136,1323,1323,0.009710017904518881
275,1325,1325,0.009694964260731135
460,1319,1319,0.00960916737934296
458,1325,1325,0.00956979221748124
22,1325,1325,0.009569732035902483
115,1320,1320,0.009484355164286596
279,1320,1320,0.009418624197191597
33,1324,1324,0.009417881153318498
190,1295,1295,0.009258372370023466
477,1325,1325,0.009095526749335276
151,1575,1575,0.008957633938794677
251,1403,1403,0.008953024048879201
204,1455,1455,0.008949830606274248
415,1321,1321,0.008937143195940528
14,1325,1325,0.00887123869257513
2,1325,1325,0.008834101712951329
113,1317,1317,0.008792140199520345
60,1305,1305,0.008782445221990787
15,1325,1325,0.008585645487470669
436,1575,1575,0.008514049668734258
334,1325,1325,0.008473167340555447
89,1325,1325,0.008466621259299133
70,1465,1465,0.008389682217112197
210,1297,1297,0.008380188740390008
230,1318,1318,0.008279159426018512
417,1320,1320,0.008146465578311172
410,1313,1313,0.007982743399843385
216,1325,1325,0.00796726825106309
292,1325,1325,0.00784620318725686
318,1375,1375,0.0077732551704018
47,1325,1325,0.007523994073820487
469,1325,1325,0.007520358555852984
50,1324,1324,0.007491759570676811
143,1325,1325,0.0074375949630463645
164,1325,1325,0.00732584046903596
6,1575,1575,0.007207237803315191
44,1321,1321,0.007114703829609169
333,1315,1315,0.007080795966511656
404,121,121,0.00706763790829481
100,1321,1321,0.00700056920519985
222,1575,1575,0.006874247124106314
137,1325,1325,0.006830545875969426
49,1323,1323,0.006736666005372816
444,1375,1375,0.006659698007138204
431,1575,1575,0.00657390691483231
284,1325,1325,0.006426789240358713
290,1325,1325,0.006386013139933196
308,1318,1318,0.006330938262302705
306,1325,1325,0.006277539087386031
421,1325,1325,0.006129775672985178
423,1335,1335,0.006126316224363403
331,1455,1455,0.005723662612429653
435,1333,1333,0.00552831129704918
79,1325,1325,0.005417992647862505
267,1345,1345,0.005340848207021209
78,1321,1321,0.0051122534680606785
48,1325,1325,0.0051064271099833195
401,1495,1495,0.005068677293712035
217,1415,1415,0.004942057076043674
265,1308,1308,0.004709475612560804
392,1325,1325,0.004590951664931091
243,1325,1325,0.00447695667860358
213,1319,1319,0.0044465731390073895
157,1321,1321,0.004391518307774662
495,1325,1325,0.004343028591381291
497,1438,1438,0.003976473523263619
82,1325,1325,0.003956941462381076
324,1316,1316,0.003953221054685868
403,1475,1475,0.003387560971510135
142,1565,1565,0.003375684525975248
184,1445,1445,0.0033456352679643443
362,1325,1325,0.0032998209637493817
61,1575,1575,0.0032765304137886324
494,1325,1325,0.0031939821769119414
68,1325,1325,0.003171302657953207
46,1555,1555,0.003124711188709547
351,1325,1325,0.0031246363227624726
84,1325,1325,0.0028938247021332323
485,1325,1325,0.00276899155682596
197,1575,1575,0.00273790625628051
393,1325,1325,0.0026150368666730045
219,1325,1325,0.002596466803266555
353,1137,1137,0.0025733099490546983
245,1317,1317,0.002312743322837249
379,1315,1315,0.002238722731816318
467,392,392,0.0020942592721061716
108,1325,1325,0.0019439446953661782
348,1315,1315,0.0012808839618585978
286,1325,1325,0.0011272677426525607
452,1575,1575,0.0008927313736794893
175,1316,1316,0.0008122972308283547
433,1325,1325,0.0007834121035759774
358,1325,1325,0.0006084597639154954
19,1325,1325,0.0005272345267746673
52,1325,1325,0.0002374716577407907
4,1325,1325,4.418930121448557e-05
176,1325,1325,-6.268342475589865e-06
103,1320,1320,-0.0003000921688726019
71,1575,1575,-0.0003389853214058358
501,1575,1575,-0.00039467247067929073
112,1275,1275,-0.000506542204818226
187,1575,1575,-0.0008066622116538221
473,1363,1363,-0.001219834967992335
432,1375,1375,-0.0015157408668607646
256,1325,1325,-0.0015360945389876874
335,1325,1325,-0.0018092476777050981
367,1321,1321,-0.002321710455514522
440,1315,1315,-0.0027100384177873873
98,1325,1325,-0.0028635158340975164
271,1325,1325,-0.002939662768471438
412,1325,1325,-0.0030423985698059108
133,1538,1538,-0.0031272942162019384
51,1575,1575,-0.0032691194827086994
252,1315,1315,-0.0035370959284716412
86,1134,1134,-0.0036132052649329354
280,1325,1325,-0.00397268379942505
59,1325,1325,-0.0043741228125327184
470,1325,1325,-0.004439273718736377
496,1575,1575,-0.004565091691669129
330,1325,1325,-0.00475030381773861
285,1319,1319,-0.005854293762950157
104,1575,1575,-0.005953363061542905
301,1325,1325,-0.006119490575865583
364,1314,1314,-0.006328974859436891
23,1565,1565,-0.006489287512827031
130,1565,1565,-0.0066007338943742675
472,1435,1435,-0.007118319949905045
57,1325,1325,-0.007320830398215643
437,1325,1325,-0.007827789084693743
338,1325,1325,-0.007852972968031814
186,1323,1323,-0.00807783543137878
55,1575,1575,-0.008170946663314497
173,1325,1325,-0.008442057240973057
314,1375,1375,-0.008672345189717833
341,1325,1325,-0.009911939583774055
462,1325,1325,-0.01122329172844952
201,1375,1375,-0.011914983015803335
80,1325,1325,-0.012437467045231078
66,1325,1325,-0.013862053071408397
352,1325,1325,-0.020057126065049818
16,1575,1575,-0.02215554592680731
356,1219,1219,-0.02252826981263762
