sector,rows,origin_days,mean_delta_pct
Financials,115874,1582,0.005710028070536081
Information Technology,111025,1582,0.005503000716676515
Health Care,90266,1582,0.005375731473989198
Communication Services,36008,1582,0.005070621296968806
Consumer Staples,50408,1582,0.004761024592012921
Industrials,122042,1582,0.004648161613406517
Materials,38923,1582,0.00454907524353558
Utilities,47594,1582,0.004481286388522885
Real Estate,46695,1582,0.004227637525730691
Consumer Discretionary,72861,1582,0.0028674055855571205
Energy,32239,1582,0.0009475642627846835
