origin_year,rows,origin_days,mean_delta_pct
2020,77065,167,0.03401071424885743
2025,119032,250,0.010374360007611216
2023,117856,250,0.004044086576270779
2024,119185,252,0.0034480902544378475
2021,117007,252,0.001947942251422558
2026,75529,158,0.0007998866886083889
2022,117829,251,-0.00670568616990243
