origin_year,rows,origin_days,mean_delta_pct
2020,75535,168,0.06518808770681737
2025,115841,250,0.010415771955440349
2023,114774,250,0.005045510598608206
2024,116006,252,0.0041541415947521825
2021,114045,252,0.0022529085391865193
2026,72606,156,-0.0005700527491538837
2022,114766,251,-0.018968075860773655
