sector,rows,origin_days,mean_delta_pct
Utilities,46004,1580,0.008338544593706412
Health Care,88293,1580,0.007534457641243206
Financials,112281,1580,0.007103374142630949
Real Estate,45107,1580,0.006793025922215228
Consumer Staples,48763,1580,0.0065533179137837174
Materials,37649,1580,0.00583079283097898
Information Technology,108981,1580,0.0058088067504961805
Industrials,118429,1580,0.005220321491391537
Communication Services,35473,1580,0.003390232592186124
Consumer Discretionary,71401,1580,0.0017716899416455173
Energy,31122,1580,0.0016626457093528507
