sector,rows,origin_days,mean_delta_pct
Real Estate,39635,1575,0.020663647400021926
Materials,33266,1575,0.01888438967858004
Energy,27294,1575,0.015366896020909005
Utilities,40548,1575,0.015102975254842992
Consumer Staples,43110,1575,0.015073527320091222
Financials,99905,1575,0.013188418769865897
Health Care,81541,1575,0.012516280615028347
Industrials,106014,1575,0.012388300193292238
Information Technology,102016,1575,0.00917628438032179
Consumer Discretionary,66411,1575,0.0002489969707165077
Communication Services,33651,1575,-0.005194247986540178
