sector,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
Information Technology,102016,0.035726952419139146,0.00524876393867844,0.00524876393867844,0.28777506709182155,-0.010371808014039413,2.331963432780456,-0.003916221811714321,0.008747210904111152
Consumer Discretionary,66411,0.038178778771265985,0.0038524313881894245,0.0038524313881894245,0.21121805327026927,-0.00018055375647431466,2.2196997748793046,-0.002870567374619293,0.00979286534120618
Health Care,81541,-0.018193248845712728,-0.0023187932748501114,0.0023187932748501114,0.12713295892862528,-0.027107094022513132,1.8189941603022193,0.004446739622782808,0.01711017233860828
Utilities,40548,0.02981668932989336,0.0017871975731968976,0.0017871975731968976,0.09798705134042925,0.006154024189362707,1.4144082874450012,-0.00112616341775161,0.011537269298073862
Financials,99905,0.01135913950138363,0.0017196387139247495,0.0017196387139247495,0.09428298777673534,-0.006188539672869692,1.7952358250914955,0.000130461887362757,0.012793894603188229
Energy,27294,0.0384196807190687,0.0016354244312230585,0.0016354244312230585,0.08966575386457912,0.019937617521292094,2.2522377075329887,-0.0011638899379032427,0.01149954277792223
Communication Services,33651,0.022602328877502784,0.0011379130577099678,0.0011379130577099678,0.062388594791633195,-0.007960853561585195,2.188332558485157,-0.0005201721009772232,0.01214326061484825
Real Estate,39635,-0.005099164787303091,-0.0002738710654225768,0.0002738710654225768,0.01501558560210934,-0.0023483022401190714,1.6541549262345099,0.0010801735267741877,0.01374360624259966
Industrials,106014,-0.0014993714290099467,-0.0001695194983770273,0.0001695194983770273,0.00929428063230901,-0.005591450152574399,1.780006418861877,0.0025508862243951956,0.015214318940220668
Consumer Staples,43110,0.0010602497273769916,6.990718024893528e-05,6.990718024893528e-05,0.0038328154440496155,-0.02399263056072719,1.458026924212518,0.0008337857466892025,0.013497218462514674
Materials,33266,-0.0007745824184916074,-2.565972869628387e-05,2.565972869628387e-05,0.0014068512574391503,-0.0076212261320510784,1.93198200852788,0.0006668094476015568,0.01333024216342703
