fold_id,quantile,quantile_name,rows,origin_days,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct
0,0.05,q05,150397,317,0.0008684392312543448,-0.007737883903149493
0,0.25,q25,150397,317,0.005002374212736881,0.0013664875449973433
0,0.5,q50,150397,317,2.0625931379897186e-06,0.0002324272482667782
0,0.75,q75,150397,317,0.02497666580514363,0.02021136100632137
0,0.95,q95,150397,317,0.03685742038409337,0.029478746157729958
1,0.05,q05,152173,317,0.01807799848904906,0.0043566509999445864
1,0.25,q25,152173,317,0.017172656547830203,0.011370173406309312
1,0.5,q50,152173,317,-5.30330681246406e-07,0.0008323828838373241
1,0.75,q75,152173,317,0.01250101842178518,0.006397296617448337
1,0.95,q95,152173,317,0.024884839325898463,0.008050891781629384
2,0.05,q05,152888,316,0.003719412672597114,-0.005276796601195089
2,0.25,q25,152888,316,-0.0018892095902592891,-0.0037604615388867543
2,0.5,q50,152888,316,-6.840456035664003e-08,0.0006808201682330838
2,0.75,q75,152888,316,0.004689863779117306,-0.0005146432434942423
2,0.95,q95,152888,316,0.018731304953124073,0.0052880999352232306
3,0.05,q05,153646,316,0.0064544261853652085,-0.004826861172022636
3,0.25,q25,153646,316,-0.005510327070080924,-0.00986642907642082
3,0.5,q50,153646,316,3.063850330407955e-07,0.00028193740862973737
3,0.75,q75,153646,316,0.002390390495985396,-0.002913332251365842
3,0.95,q95,153646,316,0.013789494324611387,-5.3246015693584024e-05
4,0.05,q05,154831,316,0.009699147607585504,-0.0024049103113443714
4,0.25,q25,154831,316,0.0034011282558282637,-0.00023356757256782712
4,0.5,q50,154831,316,-9.248866543459399e-08,0.0006264002421517093
4,0.75,q75,154831,316,0.009339834903517783,0.001973248702116505
4,0.95,q95,154831,316,0.024641554654104725,0.007578276382514737
