asset_id,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,ticker,sector,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
87,1581,0.23830814640752004,0.00049388630917589,0.00049388630917589,0.043225436111216146,CVNA,Consumer Discretionary,0.05589259452176548,5.555712868343235,-0.00047578453962079145,0.008722341646124164
117,1094,0.24040942536285387,0.0003431380237700216,0.0003431380237700216,0.030031791625383452,COIN,Financials,0.09606664990742231,5.143212225630194,-0.00033259028159402497,0.00886553590415093
317,1582,0.12343969908967872,0.0002570106475908159,0.0002570106475908159,0.02249383536441108,MRNA,Health Care,0.008339905780643938,4.15301379990863,-0.00023837843485357123,0.008959747750891384
425,1581,0.1150428530675401,0.00023601253606024398,0.00023601253606024398,0.02065605911599582,SMCI,Information Technology,0.03992574157343969,4.408708764822908,-0.0002173428239347368,0.008980783361810218
438,1580,0.08463232085321627,0.0001757812036263629,0.0001757812036263629,0.015384551152232967,TSLA,Consumer Discretionary,0.0003535813524254423,3.5736538729237655,-0.00015702683276906486,0.00904109935297589
67,1582,0.08321487093268748,0.00017360823336912525,0.00017360823336912525,0.015194370567590867,XYZ,Financials,0.01339448006905648,3.402708620400404,-0.0001548026683079423,0.009043323517437012
340,1582,0.081944363325502,0.00017169513358066753,0.00017169513358066753,0.015026934112795539,NCLH,Consumer Discretionary,0.028579523195689415,3.6863888255175086,-0.00015288712848010466,0.009045239057264851
85,1579,0.07996571918989437,0.0001671165785796739,0.0001671165785796739,0.014626214285174934,CCL,Consumer Discretionary,0.03808619350147307,3.472632941466678,-0.00014834834900368077,0.009049777836741274
41,1093,0.11627263366273642,0.00016526582578230072,0.00016526582578230072,0.014464234502957448,APP,Communication Services,0.058422805337128736,4.478126713880614,-0.00015438018056744614,0.00904374600517751
116,1582,0.0763362160198786,0.0001572683836082382,0.0001572683836082382,0.01376429016490743,COHR,Information Technology,0.008045835190217066,3.5369114266989943,-0.00013842454935719738,0.009059701636387758
294,1582,0.07683446536402774,0.00015698274240995928,0.00015698274240995928,0.01373929055439476,LITE,Information Technology,0.03223751152127128,3.2423198399521285,-0.0001381355850770744,0.00905999060066788
301,1557,0.0689426995333241,0.00014032689631154872,0.00014032689631154872,0.012281553828291885,MRVL,Information Technology,0.013021693215528686,3.4122546251830235,-0.0001215576609179955,0.00907656852482696
472,1568,0.06385838601132382,0.00013050887589732463,0.00013050887589732463,0.01142227061620649,VRT,Industrials,0.02669450106781713,3.287729890440229,-0.00011157718388075235,0.009086549001864203
