regime,rows,origin_days,mean_vol20_pct,median_vol20_pct,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct,candidate_central50_coverage,candidate_central90_coverage
low,186473,1568,1.0181843562740593,1.0387844820750236,0.01087059741964219,-0.0021187401490024324,0.4174116360009224,0.8550674896633829
mid,261914,1580,1.5342246101663126,1.524521821072505,0.0027160148584712425,0.002651911820694183,0.48680101101888407,0.903876845071283
high,295116,1580,2.781225049887446,2.449874577590253,0.017124281690301637,-0.004854560845936016,0.5633378061508018,0.938098917036013
