sector,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
Information Technology,108981,0.02814434856169008,0.00410187282925285,0.00410187282925285,0.290771596938275,0.002973141243161974,2.338047416755778,-0.0024939821353798354,0.010995727265793991
Consumer Discretionary,71401,0.027114453130816885,0.002633416814341794,0.002633416814341794,0.18667639012342163,0.005807435037189698,2.2017858092350253,-0.0014770887151673094,0.012012620686006519
Financials,112281,0.010506063441271873,0.0016043064282821786,0.0016043064282821786,0.11372530586593517,0.0014012580097777338,1.785565350388251,0.0005024926431550824,0.01399220204432891
Energy,31122,0.03171593668485057,0.001347229747561023,0.001347229747561023,0.09550177722414224,0.01468333426406562,2.247727011709183,-0.0008164123764608098,0.012673297024713018
Utilities,46004,0.016945735930175083,0.001041365367999907,0.001041365367999907,0.07381980954897177,0.0024274431103860103,1.4128131543284173,-0.00022860563971992652,0.013261103761453901
Industrials,118429,0.006246562100536468,0.001015574915406561,0.001015574915406561,0.07199158829529287,-0.0005748194872464651,1.7775697632216305,0.001346982826997905,0.014836692228171734
Communication Services,35473,0.017115894895646324,0.0008128492049190584,0.0008128492049190584,0.057620865205461086,0.004181692409463907,2.1747102892148003,-0.00018401003046194652,0.01330569937071188
Materials,37649,0.01054529580291584,0.0005391743361043866,0.0005391743361043866,0.03822073215413734,0.002520906918854671,1.9399220366958656,0.000154691007837268,0.013644400409011095
Consumer Staples,48763,0.005339903949371874,0.000351558561223286,0.000351558561223286,0.024921114944179538,-0.006717767879108999,1.455947936508832,0.0005791886627683502,0.014068898063942178
Real Estate,45107,0.005618568223382335,0.00035093412124088843,0.00035093412124088843,0.024876849941720423,0.005559429904086188,1.6404741988115799,0.0004996925326825202,0.013989401933856348
Health Care,88293,-0.0025882639706096403,-0.000308572925158106,0.000308572925158106,0.02187396975846285,-0.009489913148146279,1.8047612265775974,0.0021736189077854687,0.015663328308959296
