fold_id,quantile,quantile_name,rows,origin_days,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct
0,0.05,q05,142690,316,-0.07532186158593741,-0.09151809945866182
0,0.25,q25,142690,316,-0.034596616808808114,-0.03972373962234057
0,0.5,q50,142690,316,1.0018957507895029e-05,0.0017706527133982172
0,0.75,q75,142690,316,0.07280229714547953,0.06052607475655595
0,0.95,q95,142690,316,0.09636294294603436,0.07807923931631615
1,0.05,q05,144053,316,0.04259639042513335,0.020655100046154798
1,0.25,q25,144053,316,0.034073042589345764,0.028794237748376937
1,0.5,q50,144053,316,-1.0742870381303961e-05,0.008739388691534147
1,0.75,q75,144053,316,0.023983491082846194,0.012643359537344896
1,0.95,q95,144053,316,0.04213306190508644,0.005620727487834786
2,0.05,q05,145084,316,-0.015788093501292788,-0.035873776227348844
2,0.25,q25,145084,316,-0.022700059577573817,-0.025293492610771982
2,0.5,q50,145084,316,-3.1292349922473944e-09,0.004184503555281373
2,0.75,q75,145084,316,0.01731684681227513,-0.0006735243617134242
2,0.95,q95,145084,316,0.04492277579789211,-0.0006126892858273695
3,0.05,q05,145530,316,-0.008810024765643734,-0.03699542148210412
3,0.25,q25,145530,316,-0.02856931756067279,-0.04137020083008512
3,0.5,q50,145530,316,7.612673530816563e-07,0.0023929204378238763
3,0.75,q75,145530,316,0.025601532308268515,0.007435643513888601
3,0.95,q95,145530,316,0.03305469487949673,-0.012861858400453886
4,0.05,q05,146216,315,-0.0033109636049393335,-0.02712248054420651
4,0.25,q25,146216,315,0.0016326033761288102,-0.004010906566164959
4,0.5,q50,146216,315,-6.707837407315589e-07,0.005565725895864049
4,0.75,q75,146216,315,0.025936547814114422,0.0008736869597153646
4,0.95,q95,146216,315,0.06423677332932157,0.01719190004356457
