sector,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
Information Technology,111025,0.018263160280247968,0.00264434999943306,0.00264434999943306,0.2874879019958666,0.004722322500398927,2.3399311994194183,-0.0015319112662213758,0.007666214919523579
Consumer Discretionary,72861,0.016335734251182312,0.0015731337779237452,0.0015731337779237452,0.1710276360811131,0.00558403943342055,2.1977463219265414,-0.0007707256109171082,0.008427400574827847
Financials,115874,0.008753623480244785,0.0013355541239418766,0.0013355541239418766,0.14519849988704087,0.0039982782875031195,1.7834651756383257,6.817116048632384e-05,0.00926629734623128
Energy,32239,0.02064392287134422,0.0008825839333697509,0.0008825839333697509,0.09595257942183477,0.012050387887775394,2.2481912382348694,-0.0005150580511509887,0.008683068134593967
Industrials,122042,0.004691382288380324,0.0007557631246886094,0.0007557631246886094,0.08216490070117474,0.0003509099792103477,1.77680289844163,0.0008485515772370137,0.01004667776298197
Utilities,47594,0.009461850454044575,0.0005862405799859585,0.0005862405799859585,0.06373478338387015,0.0018095588230425347,1.4128405306715612,-1.5102866737410202e-05,0.009183023319007545
Communication Services,36008,0.010005580720425887,0.0004715072350933816,0.0004715072350933816,0.05126122707732719,0.0034778035308852245,2.170229787803538,-4.2333039702073487e-05,0.009155793146042882
Materials,38923,0.006811121917289211,0.0003485046577218427,0.0003485046577218427,0.03788865804667338,0.0022805313212409693,1.9423452092389923,0.00012717970219020835,0.009325305887935164
Consumer Staples,50408,0.004589074877499989,0.0003034921726521086,0.0003034921726521086,0.03299499990796536,-0.00246197126009395,1.455604973867545,0.00032829678797633864,0.009526422973721294
Real Estate,46695,0.003949984007276075,0.0002447020146379074,0.0002447020146379074,0.026603463542078924,0.004039450811570374,1.6372712237833134,0.0003400044794334322,0.009538130665178387
Health Care,90266,0.0004181550507695682,5.229456629671371e-05,5.229456629671371e-05,0.005685349955054827,-0.003845594125663498,1.8021253115731217,0.0011736806371102147,0.01037180682285517
