regime,rows,origin_days,mean_vol20_pct,median_vol20_pct,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct,candidate_central50_coverage,candidate_central90_coverage
low,168152,1556,1.0199299036173224,1.0401107971071009,0.019639390416220027,-0.006320385533578863,0.40415219563252297,0.8552856938959988
mid,235860,1575,1.5364898275247192,1.5260336069433897,0.0022597260475895145,0.004012327153963123,0.4831807004155007,0.9094166030696176
high,269379,1575,2.795104387161942,2.459503594892928,0.01857881877095451,-0.019672725137756118,0.5746179175065614,0.9450736694397114
