sector,rows,mean_row_delta_pct,weighted_primary_contribution_pct,abs_weighted_contribution_pct,abs_contribution_share,candidate_vs_asset_reference_mean_row_delta_pct,mean_asset_vol_20d_pct,change_from_full_pct,leave_one_out_primary_delta_pct
Information Technology,107012,0.0340461707321716,0.004989321370295696,0.004989321370295696,0.3268059018503198,0.00046849436495110245,2.3362748205160524,-0.0035440972563813592,0.009875411352542732
Consumer Discretionary,69989,0.03018817587342148,0.002952730502591197,0.002952730502591197,0.19340701534386726,0.0026586446685537292,2.2070827827565545,-0.0018240916094285533,0.01159541699949554
Financials,108761,0.009107521720591542,0.0013845810782972113,0.0013845810782972113,0.09069154588272019,-0.001939976600239165,1.7887949567755732,0.0007403741098481585,0.01415988271877225
Utilities,44445,0.021798644513904408,0.0013308215704320389,0.0013308215704320389,0.08717024044917868,0.003267218885220786,1.4135259490239866,-0.0005557297426449674,0.012863778866279124
Energy,30027,0.030756184185844568,0.0013020449588902177,0.0013020449588902177,0.08528534152422451,0.011376622966044058,2.2490155846844173,-0.0007693923498539982,0.012650116259070093
Health Care,86380,-0.007560616668779118,-0.0009237084666308262,0.0009237084666308262,0.06050389543581806,-0.015545384449130593,1.8084242595459583,0.0028773454698400114,0.016296854078764102
Communication Services,34961,0.018850113945638687,0.0009116717763804249,0.0009116717763804249,0.0597154793125363,-0.000386221632800924,2.1793667257179323,-0.00028693851266797424,0.013132570096256117
Industrials,114894,0.0039031182064146112,0.0006519999600684607,0.0006519999600684607,0.04270669679149524,-0.0033051127832359212,1.7786437534668427,0.001771650407204892,0.015191159016128985
Materials,36401,0.007546877303680899,0.00038355656101730256,0.00038355656101730256,0.025123366191670656,-0.00273573030446922,1.9380115729843337,0.00030715426030498245,0.013726662869229075
Consumer Staples,47152,0.0051023872915529934,0.0003349578861218919,0.0003349578861218919,0.02194010085372673,-0.01137236515781207,1.456774986455233,0.0005944345352635085,0.0140139431441876
Real Estate,43551,0.0015459582880576483,0.00010153141146047787,0.00010153141146047787,0.00665041636444254,0.0013153528371451235,1.6450235234679833,0.0007409526347791367,0.014160461243703229
