fold_id,block_index_within_fold,first_day,last_day,origin_days,rows,train_empirical_mean_pinball_pct,train_empirical_central50_coverage,train_empirical_central90_coverage,train_empirical_q05_calibration_error,train_empirical_q25_calibration_error,train_empirical_q50_calibration_error,train_empirical_q75_calibration_error,train_empirical_q95_calibration_error,volatility_scaled_empirical_mean_pinball_pct,volatility_scaled_empirical_central50_coverage,volatility_scaled_empirical_central90_coverage,volatility_scaled_empirical_q05_calibration_error,volatility_scaled_empirical_q25_calibration_error,volatility_scaled_empirical_q50_calibration_error,volatility_scaled_empirical_q75_calibration_error,volatility_scaled_empirical_q95_calibration_error,asset_empirical_mean_pinball_pct,asset_empirical_central50_coverage,asset_empirical_central90_coverage,asset_empirical_q05_calibration_error,asset_empirical_q25_calibration_error,asset_empirical_q50_calibration_error,asset_empirical_q75_calibration_error,asset_empirical_q95_calibration_error
0,0,2020-05-06,2020-11-02,126,58259,1.0463318971429036,0.37242314492181466,0.8272369934259084,0.015758080296606525,0.03141574692322219,-0.03011551863231432,-0.09616110815496315,-0.05700492627748499,1.0112012610836383,0.5065140150019739,0.9163906005938997,-0.01814226128151874,-0.034616969051991964,-0.030081189172488365,-0.02810295405001806,-0.0017516606876190055,1.040443088188501,0.3745515714310235,0.8151701882970871,0.01726857652894831,0.032016512470176284,-0.028261727801713044,-0.0934319160988002,-0.0675612351739645
0,1,2020-11-03,2021-05-05,126,58329,0.8611847299184116,0.43960979958511204,0.8818083629069589,-0.01716898969637745,-0.014113905604416332,-0.04566339213770165,-0.07450410601930424,-0.03536062678941865,0.8535744844452124,0.5266676953145091,0.9192682885014315,-0.02867270140067548,-0.05577414322206792,-0.045629103876287935,-0.029106447907558897,-0.009404412899243875,0.8537826444822267,0.43921548457885445,0.8749164223628041,-0.016277494899621117,-0.012948104716350356,-0.04523478887003035,-0.07373262013749593,-0.04136107253681698
0,2,2021-05-06,2021-08-05,64,29724,0.6458168157182551,0.5466962723724936,0.943547301843628,-0.024195935944018303,-0.02304535055847126,0.0018503566141838679,0.023650921814022285,0.01935136589960984,0.6370917411433044,0.5281590633831248,0.9262885210604226,-0.013362939039160276,-0.013288924774592925,0.0018503566141838679,0.014870138608531813,0.012925582021262372,0.6346453346748762,0.5516081281119634,0.9469115865966895,-0.026685506661283814,-0.02354999327143048,0.002321356479612402,0.028058134840532878,0.020226079935405816
1,0,2021-08-06,2022-02-03,126,58665,0.7795012768238045,0.47062132446944516,0.9171737833461178,-0.0061067075769197995,0.03780363078496546,0.028696837978351653,0.008424955254410671,0.011067075769198076,0.7681903444290581,0.45753004346714393,0.891127588851956,0.005535668626949625,0.0459345435949885,0.028696837978351653,0.003464587062132485,-0.0033367425210942825,0.7677013181899353,0.4697519815903861,0.9183329071848632,-0.0055612375351572485,0.038826387113270244,0.028628654223131322,0.008578368703656358,0.012771669649705997
1,1,2022-02-04,2022-08-05,126,59070,1.0660787927731419,0.3779922126290841,0.8339258506856272,0.043668528864059586,0.08292703572033183,0.025816827492805117,-0.039080751650584,-0.022405620450313135,1.0336755224513137,0.48870831217199934,0.9036736075842221,0.002564753682072117,0.0261808024377857,0.025850685627221925,0.014889114609785037,0.00623836126629429,1.0490844294772042,0.3765193837819536,0.82576604029118,0.04713898764178094,0.08412899949212799,0.025342813610970016,-0.03935161672591836,-0.027094972067039036
1,2,2022-08-08,2022-11-04,64,30145,1.058111303699821,0.3275833471554155,0.8403715375684193,0.037775750539061195,0.1352380162547686,0.05714048764305857,-0.037178636589815905,-0.021852711892519472,1.0265423615863525,0.4146292917565102,0.8913252612373528,0.008550340023221095,0.09081937303035331,0.05714048764305857,0.005448664786863455,-0.00012439873942604596,1.048685741784447,0.32496268037817216,0.822026870127716,0.049419472549344826,0.13686349311660306,0.05727317963177969,-0.03817382650522472,-0.02855365732293913
2,0,2022-11-07,2023-05-09,126,59324,0.8314038285452413,0.4916728474142,0.9128851729485538,-0.007251702515002366,0.013148135661789517,0.008158586743982177,0.004820983075989438,0.005633470433551335,0.8249698230817103,0.5282516350886657,0.9166610478052727,-0.008330523902636375,-0.0037590182725372456,0.008175443328164,0.024492616816128354,0.008330523902636444,0.8143913953031693,0.49812891915582225,0.9168464702312723,-0.010623019351358641,0.008866563279617046,0.007282044366529572,0.0069954824354392375,0.006223450879913717
2,1,2023-05-10,2023-11-07,126,59456,0.7519112829092381,0.5170041711517761,0.9367431377825619,-0.021693353067814856,0.010797900968783636,0.037893568353067786,0.02780207212055974,0.01504978471474705,0.7460274596496754,0.47832010226049515,0.8976554090419806,2.0182992465013483e-05,0.035236141011840694,0.037893568353067786,0.013556243272335844,-0.0023244079655543315,0.74331698158252,0.5253296555435952,0.9401406081808397,-0.02263522604951561,0.008392761033369223,0.03750672766415497,0.03372241657696451,0.01750538213132402
2,2,2023-11-08,2024-02-09,64,30204,0.7152890860015514,0.5685008608131373,0.9360349622566547,-0.031426301152165284,-0.07631439544431201,-0.057972453979605376,-0.007813534631174623,0.004608661104489542,0.7075836633154106,0.5268507482452656,0.9050125811150841,-0.02156005827042776,-0.055721096543504184,-0.057972453979605376,-0.028870348298238646,-0.01654747715534366,0.7063015592352117,0.5763806118394914,0.9424579525890611,-0.03344590120513839,-0.07979075619123294,-0.05883326711693815,-0.003410144351741473,0.009012051383922692
3,0,2024-02-12,2024-08-12,126,59525,0.7570161002592187,0.5329861402771945,0.9283158336833264,-0.015879882402351955,-0.018584628307433848,-2.5199496010097633e-05,0.014401511969760583,0.012435951280974411,0.7520318409207536,0.4941957160856783,0.8948845023099538,-0.002977740445191099,0.0023645527089458107,-2.5199496010097633e-05,-0.0034397312053758844,-0.008093238135237213,0.7454931504454767,0.5351028979420411,0.9305837883242335,-0.01806383872322554,-0.01996220075598487,0.00012599748005037714,0.015140697186056262,0.012519949601007996
