regime,rows,origin_days,mean_vol20_pct,median_vol20_pct,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct,candidate_central50_coverage,candidate_central90_coverage
low,181206,1564,1.0186943117148153,1.0391962478484287,0.012542289476661394,-0.004400602729862729,0.4112998465834465,0.8537576018454135
mid,254348,1579,1.5347845786095613,1.5249376244636141,0.0030280257357120366,0.0033765381407160127,0.4844583012250932,0.9059438249956752
high,288019,1579,2.7847551187057418,2.452113470013056,0.017905799373879327,-0.010602950344015951,0.56685496442943,0.9425419850773734
