fold_id,quantile,quantile_name,rows,origin_days,candidate_vs_global_daily_delta_pct,candidate_vs_asset_daily_delta_pct
0,0.05,q05,146312,316,-0.020184385897314316,-0.03381824011275783
0,0.25,q25,146312,316,-0.014705428045539525,-0.01740391956201744
0,0.5,q50,146312,316,6.070984347304317e-06,0.001201987985629734
0,0.75,q75,146312,316,0.05104092459430632,0.04054876788198541
0,0.95,q95,146312,316,0.07869344852128858,0.06656374390393838
1,0.05,q05,147880,316,0.031776972823529016,0.011184586438021346
1,0.25,q25,147880,316,0.02959951600048399,0.021022383568303885
1,0.5,q50,147880,316,-2.3356322073821933e-06,0.004051398024166745
1,0.75,q75,147880,316,0.018767658479354746,0.007653054480119294
1,0.95,q95,147880,316,0.0392259752928861,0.008352966736124286
2,0.05,q05,148984,316,-0.0030246263597864635,-0.019386457645644038
2,0.25,q25,148984,316,-0.011668817192947207,-0.014838504673404498
2,0.5,q50,148984,316,9.059954661318787e-08,0.0022273315407386417
2,0.75,q75,148984,316,0.013340831986410897,-0.0003700020492802921
2,0.95,q95,148984,316,0.03368642292494195,0.0043541487093408425
3,0.05,q05,149567,316,-0.0013678070499766888,-0.022059542423868178
3,0.25,q25,149567,316,-0.021660281229024605,-0.03066544722535157
3,0.5,q50,149567,316,1.0030506439833237e-06,0.0008246438218994903
3,0.75,q75,149567,316,0.012284558614873348,7.794015946795288e-05
3,0.95,q95,149567,316,0.028490563168348238,-0.0015684282142737823
4,0.05,q05,150760,316,0.004788514459767121,-0.014785147842810728
4,0.25,q25,150760,316,0.0038138891112408893,-0.0028340609069172035
4,0.5,q50,150760,316,-6.047202386367513e-07,0.0018482310618515314
4,0.75,q75,150760,316,0.018212128558022383,0.002123549795811755
4,0.95,q95,150760,316,0.04612845198638893,0.011975936825314292
