origin_trading_day,rows,baseline_loss,candidate_loss,loss_delta_baseline_minus_candidate
2020-05-06,451,1.3728232877128177,1.6326140875002297,-0.25979079978741193
2020-05-07,461,0.9655612500264401,1.3581617039410283,-0.3926004539145881
2020-05-08,465,2.3651570017575922,2.0232853566310602,0.34187164512653195
2020-05-11,451,1.4299502675389522,1.4858852742836157,-0.05593500674466335
2020-05-12,443,0.8263124391407165,1.1014862191544426,-0.2751737800137261
2020-05-13,447,2.656661965649468,2.897216856327419,-0.24055489067795038
2020-05-14,454,1.5852004017825585,2.0863033594845,-0.5011029577019417
2020-05-15,459,2.328018840957636,1.8917421348416958,0.43627670611594016
2020-05-18,453,0.7771903559486101,1.1672687716841101,-0.3900784157355001
2020-05-19,455,0.8144356165658437,1.1842742475566366,-0.3698386309907929
2020-05-20,456,1.3444840946947927,1.9652227921413647,-0.6207386974465716
2020-05-21,460,2.1595588669100034,1.7937887318217915,0.36577013508821216
2020-05-22,454,1.7206934632842403,1.4847106817995521,0.23598278148468813
2020-05-26,444,1.0186135209506488,1.2908926142150112,-0.2722790932643625
2020-05-27,443,0.9286432072158014,1.3438590661677468,-0.4152158589519455
2020-05-28,452,0.9030446124006092,1.256788041514139,-0.35374342911352963
2020-05-29,464,1.8781766281715933,2.4076018783665094,-0.5294252501949156
2020-06-01,456,1.8146163859412456,2.2887087885972983,-0.4740924026560529
2020-06-02,459,2.5910254271087245,2.971582104733744,-0.38055667762502
2020-06-03,461,2.23350549889039,2.6772983196866003,-0.44379282079621
2020-06-04,465,1.1640574199615938,1.3183088537124867,-0.15425143375089284
2020-06-05,466,1.0552288458878518,1.2466385574457461,-0.1914097115578942
2020-06-08,453,4.00938530854556,2.720349035715453,1.2890362728301061
2020-06-09,439,2.3446599459114412,2.0497892270078872,0.29487071890355415
2020-06-10,433,1.2558894798955371,1.380866544521783,-0.12497706462624573
2020-06-11,446,1.756860721085054,2.1071636456817506,-0.35030292459669693
2020-06-12,469,0.8346779392829452,1.3811908398253048,-0.5465129005423595
2020-06-15,474,0.5980207864375566,1.1427033757035365,-0.54468258926598
2020-06-16,471,0.936040704813805,1.4753173701777749,-0.5392766653639699
2020-06-17,470,0.7048299163982499,1.460942928722416,-0.7561130123241664
2020-06-18,471,0.6528960104174553,0.8939550921135205,-0.24105908169606516
2020-06-19,476,1.0894499777819175,1.1279992709766653,-0.03854929319474775
2020-06-22,474,0.8680498383811763,1.1285241528640975,-0.2604743144829211
2020-06-23,472,1.5436954095143787,1.6992558037385972,-0.1555603942242185
2020-06-24,454,0.6230093451819493,1.1287001246020398,-0.5056907794200903
2020-06-25,448,0.6326211947556157,0.9382111877106099,-0.3055899929549941
2020-06-26,447,1.050867911007973,1.2735845109820554,-0.22271659997408208
2020-06-29,460,0.7917669220617075,0.9582910884276624,-0.16652416636595482
2020-06-30,466,0.7577128550490957,0.8918094995792681,-0.1340966445301724
2020-07-01,468,0.7360652908963544,0.9402578105172743,-0.20419251962091983
2020-07-02,473,0.7942492429140936,0.9542608598416573,-0.16001161692756363
2020-07-06,467,1.251701960654806,1.3479504947527388,-0.09624853409793292
2020-07-07,467,0.6241976689006401,0.7845778176630793,-0.1603801487624392
2020-07-08,468,0.6905433595370668,1.0057465410482167,-0.31520318151114995
2020-07-09,472,1.1651825686447617,1.002840046506735,0.16234252213802655
2020-07-10,472,1.3152492501071735,1.4405241012785974,-0.12527485117142378
2020-07-13,468,1.2207615442228479,1.632840391552138,-0.41207884732928995
2020-07-14,469,0.8786832017931115,1.0673336064703347,-0.1886504046772232
2020-07-15,471,0.7988673822134308,0.9854591311407241,-0.1865917489272933
2020-07-16,473,0.6394782550065429,0.8874918218976741,-0.24801356689113116
2020-07-17,475,0.6926413292470045,1.033784788091194,-0.34114345884418934
2020-07-20,471,0.8980994246174303,1.1436270477838677,-0.24552762316643723
2020-07-21,471,0.7287420307438053,0.8854441841249086,-0.1567021533811032
2020-07-22,472,0.6920415945087772,0.9219489785023297,-0.22990738399355248
2020-07-23,473,0.6616830288209481,0.8161111438606935,-0.15442811503974546
2020-07-24,475,0.7649671892458825,0.9610717809409999,-0.1961045916951173
2020-07-27,467,0.8136272088842417,0.904752571264904,-0.09112536238066235
2020-07-28,457,0.8920614119551319,1.0558278691350993,-0.1637664571799676
2020-07-29,455,0.8698630732395481,0.9682842998512019,-0.09842122661165369
2020-07-30,463,0.7572786758050599,0.9799097785960131,-0.22263110279095333
2020-07-31,476,0.9270768100955922,1.0462211249704523,-0.11914431487486003
2020-08-03,470,0.9356523923209248,1.0594271414549608,-0.12377474913403594
2020-08-04,462,0.9889530734019707,1.029632094964711,-0.04067902156274045
2020-08-05,459,1.1544700774986993,1.147613562328098,0.006856515170601049
2020-08-06,464,1.2521159020833281,1.154369208911061,0.09774669317226718
2020-08-07,470,0.8332609728466088,0.8755629489043718,-0.04230197605776291
2020-08-10,448,0.6162467560920196,0.7117838014761576,-0.09553704538413786
2020-08-11,443,0.5990359882156744,0.7546361008584168,-0.15560011264274243
2020-08-12,442,0.6198464263849427,0.7463974054181483,-0.1265509790332055
2020-08-13,458,0.594055317487622,0.7203080919713313,-0.12625277448370928
2020-08-14,459,0.6592013925837928,0.7216217602167154,-0.062420367632922406
2020-08-17,457,0.7170440689274796,0.7564437044742621,-0.0393996355467824
2020-08-18,461,0.6545452847788922,0.7437311412302096,-0.08918585645131734
2020-08-19,462,0.6297017921291804,0.7669104536518044,-0.13720866152262398
2020-08-20,466,0.6048799330199779,0.7702383250570356,-0.16535839203705768
2020-08-21,469,0.685036821865313,0.8122341128829954,-0.12719729101768235
2020-08-24,466,0.6340742861617908,0.8123447503401926,-0.17827046417840187
2020-08-25,457,0.7321485249310794,0.8897802658697503,-0.157631740938671
2020-08-26,442,0.6296645850790341,0.7772231420371594,-0.1475585569581252
2020-08-27,443,0.6305741322496197,0.783301543229171,-0.1527274109795514
2020-08-28,448,0.7220161089278401,0.9150178304862014,-0.1930017215583613
2020-08-31,451,0.6695971045230524,0.7572976234253691,-0.08770051890231664
2020-09-01,459,0.9998813844432235,0.9762001744950142,0.023681209948209374
2020-09-02,458,1.9592361286230382,1.4922358237487956,0.46700030487424266
2020-09-03,464,0.7431216338343393,0.7548269289089465,-0.011705295074607311
2020-09-04,458,0.9920304515134293,0.8316130517645028,0.16041739974892638
2020-09-08,462,0.6679677915623143,0.9204714317129705,-0.2525036401506562
2020-09-09,443,0.6737632965909556,0.9346213764104412,-0.26085807981948567
2020-09-10,442,0.8790651639025178,1.6186448947808665,-0.7395797308783487
2020-09-11,441,0.9378173520266422,1.511383554241363,-0.5735662022147208
2020-09-14,466,0.634515555214647,0.7085143850809714,-0.07399882986632433
2020-09-15,470,0.8064500078495664,0.8080343184930943,-0.001584310643527808
2020-09-16,472,1.3753833967308395,1.177351289107197,0.19803210762364246
2020-09-17,473,1.219791711285923,1.0677967073452415,0.15199500394068152
2020-09-18,475,1.5029851561660532,1.2248803209079444,0.27810483525810886
2020-09-21,474,0.764833007716758,0.7258135085179096,0.0390194991988485
2020-09-22,471,0.5947398211526055,0.647863012681102,-0.053123191528496566
2020-09-23,473,1.059423096440134,0.972339303055407,0.08708379338472717
2020-09-24,456,0.9000365165015896,0.8340700302293413,0.06596648627224821
2020-09-25,451,0.700400010666885,0.7666581479229203,-0.06625813725603544
2020-09-28,445,0.7118202419494712,0.8048097766656738,-0.09298953471620254
2020-09-29,462,0.7181322290905534,0.908174231818956,-0.19004200272840246
2020-09-30,466,0.8847852218584892,1.2080125613050292,-0.32322733944654003
2020-10-01,470,0.7534384136291032,0.8522774941632946,-0.0988390805341912
2020-10-02,472,0.9102987182754186,1.0214538746461068,-0.11115515637068822
2020-10-05,463,0.7673387508201596,0.9469630914836249,-0.1796243406634652
2020-10-06,463,1.0725401569571684,1.2148355122916907,-0.1422953553345223
2020-10-07,464,0.822677094570812,1.000592043627323,-0.17791494905651087
2020-10-08,478,0.7911811710404181,0.8426045136677991,-0.05142334262738092
2020-10-09,476,0.6431200417702495,0.773758638111197,-0.1306385963409474
2020-10-12,471,0.6698735802328024,0.738643883627277,-0.06877030339447454
2020-10-13,469,0.5995184331122839,0.731674329885942,-0.13215589677365808
2020-10-14,473,0.6883100312613805,0.7128527654189708,-0.02454273415759026
2020-10-15,476,0.6420631863966049,0.6901857123635499,-0.04812252596694489
2020-10-16,476,0.7203937445347218,0.7263381971264811,-0.005944452591759261
2020-10-19,472,0.8947445382660159,0.9753374896639629,-0.08059295139794707
2020-10-20,473,0.7535002853450327,0.7865234217186812,-0.033023136373648655
2020-10-21,474,0.7059915272019271,0.8204026001264595,-0.11441107292453231
2020-10-22,475,1.1142648706046747,1.184373627973082,-0.07010875736840742
2020-10-23,476,2.309674541160789,2.141861661310799,0.16781287984998985
2020-10-26,468,1.2262612934017831,1.0909739240794938,0.13528736932228935
2020-10-27,460,1.0846706024038495,0.9924401537800598,0.09223044862378976
2020-10-28,459,1.2986735786923689,1.761716296409041,-0.4630427177166719
2020-10-29,466,1.4700270122480399,1.8970345685774344,-0.42700755632939463
2020-10-30,476,1.755048769403924,2.454426144445411,-0.6993773750414868
2020-11-02,466,1.8647533566934915,2.1187472308192907,-0.25399387412579927
2020-11-03,461,1.511827379242726,1.6377788417665122,-0.1259514625237863
2020-11-04,453,2.985027528505343,3.1721587467963137,-0.1871312182909707
2020-11-05,457,2.5785720820154823,2.6842866177030826,-0.1057145356876001
2020-11-06,464,2.27603279904134,2.3166718030271736,-0.040639003985833554
2020-11-09,455,0.8681890954656556,0.8875811659218136,-0.019392070456158057
2020-11-10,450,0.6915300889865418,0.7676690287655867,-0.07613893977904493
