origin_trading_day,rows,baseline_loss,candidate_loss,loss_delta_baseline_minus_candidate
2020-05-05,445,1.671360964420736,1.92571414637115,-0.2543531819504142
2020-05-06,442,1.7274862094978256,1.9432933672836488,-0.21580715778582332
2020-05-07,438,1.6339350977934333,1.9002213204893512,-0.26628622269591795
2020-05-08,437,1.9166392735015538,1.7481342493199283,0.16850502418162536
2020-05-11,438,1.5172803662691743,1.7603985178892818,-0.24311815162010753
2020-05-12,431,1.6598000117701257,2.4326825151338425,-0.7728825033637168
2020-05-13,431,2.4783336468543857,3.8937974446084462,-1.4154637977540598
2020-05-14,440,2.190573045106014,2.4849245639725135,-0.2943515188664993
2020-05-15,443,2.086021718056564,2.2736189974219996,-0.18759727936543538
2020-05-18,440,1.7955228975895285,2.239377592105838,-0.4438546945163094
2020-05-19,446,2.3875086683716447,2.6007619282406784,-0.21325325986903357
2020-05-20,438,1.8097085577233452,3.0152367936194744,-1.205528235896129
2020-05-21,430,1.827212014315254,2.2333455831035542,-0.4061335687883002
2020-05-22,433,1.8847936830052867,2.3776209386391702,-0.4928272556338836
2020-05-26,434,1.6806535403601581,2.0121690060923156,-0.3315154657321575
2020-05-27,434,1.7187378947766312,2.697135862266903,-0.978397967490272
2020-05-28,435,1.955995445968468,2.975432542452806,-1.0194370964843376
2020-05-29,449,2.9677169596152084,3.9941780471738904,-1.026461087558682
2020-06-01,452,3.2486551191471005,4.178790625231322,-0.9301355060842216
2020-06-02,448,2.167206657964917,2.845946474991727,-0.6787398170268101
2020-06-03,451,1.3784966016752374,1.9917921328615644,-0.6132955311863271
2020-06-04,449,1.960095688929705,1.5385151918514168,0.42158049707828843
2020-06-05,428,2.1781223717213987,1.5999854405565586,0.5781369311648403
2020-06-08,423,2.373830072924212,1.523663038929036,0.850167033995176
2020-06-09,429,1.6065199017820435,1.2323481338874773,0.3741717678945661
2020-06-10,430,1.4687856306904865,1.693478250239552,-0.2246926195490656
2020-06-11,444,1.7282528979285101,1.5845858775849402,0.1436670203435702
2020-06-12,461,1.4998878818188897,1.6327320417829465,-0.13284415996405693
2020-06-15,467,1.3955988317229084,1.677906907086475,-0.2823080753635664
2020-06-16,469,1.3976184659385111,1.4867678168175977,-0.08914935087908647
2020-06-17,468,1.634962365157953,2.4928937991511164,-0.8579314339931635
2020-06-18,467,1.4289299578189552,1.2761633285310539,0.15276662928790133
2020-06-19,470,1.6189852307395773,1.4014506987483728,0.21753453199120457
2020-06-22,452,1.3050737664502516,1.312170794262658,-0.0070970278124060345
2020-06-23,444,1.1097723212102848,1.1935434864617591,-0.08377116525147422
2020-06-24,441,1.2386617031151324,1.500500718680592,-0.2618390155654597
2020-06-25,438,1.1918137527802977,1.3627863197298835,-0.17097256694958593
2020-06-26,438,1.6505586374353816,2.1397739479837963,-0.4892153105484148
2020-06-29,455,1.3015664384342713,1.4337271198408204,-0.1321606814065489
2020-06-30,463,1.3033976399378349,1.2768352512857173,0.02656238865211725
2020-07-01,458,1.4483850430232805,1.3940827907919917,0.05430225223128874
2020-07-02,462,1.2459221749900053,1.26093951385749,-0.015017338867484326
2020-07-06,465,1.2020028030258234,1.2447613978111154,-0.0427585947852917
2020-07-07,462,1.119294006500063,1.2500155536287387,-0.13072154712867567
2020-07-08,461,1.3083717595955406,1.3125420814359217,-0.004170321840380746
2020-07-09,466,1.6546569713444752,1.5489256725099712,0.10573129883450379
2020-07-10,464,1.4651890341523655,1.5891285634393475,-0.12393952928698188
2020-07-13,464,1.452213414043998,1.5545597941040492,-0.1023463800600512
2020-07-14,467,1.1686346859845755,1.4980241140819472,-0.32938942809737165
2020-07-15,467,1.1651494749666493,1.5148510682281604,-0.34970159326151096
2020-07-16,467,1.120341701318079,1.4279724787479358,-0.307630777429857
2020-07-17,469,1.0755219388953086,1.1680336718756177,-0.09251173298030917
2020-07-20,468,1.129729577118399,1.4104380072008815,-0.2807084300824822
2020-07-21,467,1.0815475395631007,1.035058451101365,0.04648908846173556
2020-07-22,469,1.075545209743043,1.144615770401734,-0.06907056065869092
2020-07-23,464,1.141206904284211,1.170104145786547,-0.028897241502335937
2020-07-24,453,1.2312170980666122,1.2944850310245126,-0.06326793295790045
2020-07-27,452,1.18231512640174,1.2304335587804676,-0.04811843237872744
2020-07-28,454,1.290696032583434,1.3608931583674784,-0.07019712578404441
2020-07-29,454,1.1907004157863448,1.2382245244888235,-0.04752410870247854
2020-07-30,455,1.2321122244456626,1.3023272101402725,-0.07021498569460989
2020-07-31,459,1.316425370585521,1.4130152471106994,-0.09658987652517838
2020-08-03,458,1.5478604061172574,1.727510570739384,-0.17965016462212682
2020-08-04,456,1.5313266006883324,1.6264414458511065,-0.09511484516277419
2020-08-05,453,1.2824100005630525,1.3557609704329558,-0.07335096986990307
2020-08-06,436,1.1265843346875437,1.0753900663439644,0.05119426834357948
2020-08-07,437,0.9876033754730116,0.963739303221155,0.023864072251856546
2020-08-10,436,0.968256519858652,0.9484842265190395,0.019772293339612387
2020-08-11,430,1.1109686740491649,1.2025530298164235,-0.09158435576725867
2020-08-12,426,0.996034495458975,1.018606215528998,-0.02257172007002309
2020-08-13,445,1.0180849451166991,1.0426155164036288,-0.024530571286929655
2020-08-14,448,1.0913248567713603,1.0639808206651324,0.027344036106227904
2020-08-17,446,0.9068343104847921,0.9807658571649247,-0.07393154668013255
2020-08-18,453,0.8777654195340723,0.9338889590476291,-0.05612353951355684
2020-08-19,458,0.9831129326567764,1.077185610824351,-0.09407267816757457
2020-08-20,455,0.9965732350283539,1.095586378703767,-0.09901314367541295
2020-08-21,449,1.2037651211671674,1.480287519182208,-0.2765223980150407
2020-08-24,438,0.9851999442630271,1.0185826504894766,-0.03338270622644947
2020-08-25,432,1.0336470436998118,1.1188385294577374,-0.08519148575792544
2020-08-26,428,1.1398415040242371,1.2846958494498242,-0.14485434542558692
2020-08-27,423,0.8555810634239566,0.8629880861146836,-0.007407022690726981
2020-08-28,434,0.9915325767924615,0.9621405784717031,0.029391998320758488
2020-08-31,444,1.3670308866189549,1.304716556621807,0.06231432999714775
2020-09-01,444,1.1921368322649522,1.1211836677442588,0.07095316452069321
2020-09-02,444,1.7426765714241386,1.3481557632458128,0.3945208081783261
2020-09-03,455,1.1824641055419518,1.0370432218286822,0.14542088371326953
2020-09-04,428,1.0486790827572279,1.0929942241300465,-0.04431514137281869
2020-09-08,428,1.2122132141671067,1.458751459328121,-0.24653824516101425
2020-09-09,432,1.0502057730656047,1.1616359369143503,-0.1114301638487456
2020-09-10,436,1.1012834491453671,1.3698983582374995,-0.2686149090921324
2020-09-11,436,0.961532786023618,1.224022829890953,-0.2624900438673348
2020-09-14,461,1.247829598304943,1.097906166194777,0.1499234321101658
2020-09-15,467,1.1777734517585874,1.0827868307858186,0.09498662097276873
2020-09-16,469,1.762580638323868,1.5574989684755387,0.20508166984832926
2020-09-17,468,1.609324068495474,1.432069377118113,0.17725469137736102
2020-09-18,468,1.2267894963232793,1.1242852688049283,0.10250422751835087
2020-09-21,470,0.9776490663079227,1.0253940653077633,-0.047744998999840534
2020-09-22,451,0.864668354620637,0.9153105498663882,-0.05064219524575114
2020-09-23,444,1.1494171993995483,1.3914694502074518,-0.2420522508079036
2020-09-24,441,1.3127044475052563,1.3113054466547052,0.001399000850550999
2020-09-25,442,1.0290936653125493,1.0420148888958223,-0.012921223583272936
2020-09-28,437,1.0059845990989873,1.5741559297221726,-0.5681713306231853
2020-09-29,455,1.0100405580051137,1.2376048688814365,-0.22756431087632284
2020-09-30,463,1.1771860313650593,1.4233396723509095,-0.24615364098585016
2020-10-01,455,1.462285473753748,1.7212409645548643,-0.25895549080111596
2020-10-02,456,1.3927034202775492,1.6680784120020098,-0.27537499172446056
2020-10-05,461,1.1405020934547812,1.6017420430311127,-0.4612399495763315
2020-10-06,463,1.2492397028244933,1.3852233783522152,-0.1359836755277219
2020-10-07,460,0.9346099908838784,1.2857448687307964,-0.351134877846918
2020-10-08,469,0.9145880054676621,1.0824914713302871,-0.16790346586262506
2020-10-09,469,0.8944724565577127,1.0568194818701568,-0.16234702531244422
2020-10-12,469,1.0680602804989288,0.9706350202394562,0.09742526025947257
2020-10-13,467,0.9102565860536442,0.9979369226199578,-0.08768033656631356
2020-10-14,469,0.939951286707147,0.9398389686653636,0.00011231804178341186
2020-10-15,470,1.0383043306421067,1.0647730145397334,-0.02646868389762675
2020-10-16,471,0.9959362464058785,1.0453522780277897,-0.04941603162191124
2020-10-19,470,0.9663939037371528,1.0823956844488536,-0.11600178071170064
2020-10-20,469,1.1200352973222507,1.095764687889674,0.02427060943257667
2020-10-21,471,1.65533506355277,2.1467315662524413,-0.49139650269967156
2020-10-22,466,1.6167872404944421,1.9122571083149866,-0.29546986782054446
2020-10-23,456,1.8405827620424353,1.9945940378965243,-0.15401127585408886
2020-10-26,456,1.1808496144349605,1.102131547993743,0.07871806644121761
2020-10-27,457,1.313783413933592,1.3187782539321666,-0.004994839998574642
2020-10-28,456,1.964514160409113,2.5740578986688147,-0.609543738259702
2020-10-29,454,2.180006741903066,2.5780847857030817,-0.3980780438000159
2020-10-30,458,2.375152118557052,3.076527694667784,-0.7013755761107315
2020-11-02,450,3.2302594297384712,3.7626124794227587,-0.5323530496842876
2020-11-03,445,2.6575661606006715,3.159376642487557,-0.5018104818868857
2020-11-04,446,2.4508149947435793,2.9045628392332508,-0.4537478444896718
2020-11-05,439,1.538202381385459,1.9277851340505465,-0.3895827526650875
2020-11-06,434,2.2884760248172276,2.56528826832777,-0.2768122435105419
2020-11-09,441,1.343054109534388,1.7692123383731693,-0.4261582288387813
2020-11-10,439,1.1507812121875536,1.412933383564454,-0.26215217137690033
2020-11-11,432,1.0607753966074822,1.2614573380938707,-0.2006819414863886
2020-11-12,440,1.4260349366565335,1.928877977983348,-0.5028430413268146
2020-11-13,449,1.0649657796555567,1.398088027591779,-0.3331222479362226
2020-11-16,446,1.1552086808336564,1.238821665921493,-0.0836129850878366
2020-11-17,450,1.3406011872888257,1.3410028709961583,-0.0004016837073327067
2020-11-18,453,1.309299626566324,1.3039539412089494,0.005345685357374527
2020-11-19,450,1.158636716322546,1.3125172774598308,-0.15388056113728504
2020-11-20,438,1.0748095606671757,1.0796427373200308,-0.0048331766528550875
2020-11-23,432,0.9977388380699117,0.9671096000067929,0.03062923806311877
2020-11-24,432,0.9782479760755469,0.9567794028226086,0.0214685732529382
2020-11-25,419,0.9647690037393316,0.9699093007253885,-0.005140296986056804
2020-11-27,428,1.1010022607444785,1.0819909997257635,0.019011261018714726
2020-11-30,443,1.2308072009689779,1.169282421110153,0.061524779858825145
2020-12-01,449,1.1267889134186717,1.077094906966451,0.04969400645222065
2020-12-02,447,0.9791963603367349,0.9894842335546274,-0.010287873217892473
2020-12-03,455,0.9560818336734832,0.992257826808104,-0.036175993134620915
2020-12-04,454,0.9182984507008287,0.8814147166396356,0.03688373406119308
2020-12-07,432,0.9084561138905997,0.9239464723795398,-0.015490358488940044
2020-12-08,430,0.8541385488858081,0.8919111493625549,-0.0377726004767468
2020-12-09,435,0.945728017814911,1.018493761615746,-0.07276574380083485
2020-12-10,438,0.999812175157291,1.0631017375097385,-0.06328956235244727
2020-12-11,436,1.0768860849277537,1.0641673947097525,0.012718690218001396
2020-12-14,456,0.9917399142758347,1.081450061599089,-0.08971014732325432
2020-12-15,458,1.069373490980774,1.0595259144360731,0.009847576544700866
2020-12-16,459,0.9179813800114557,0.9769853494679256,-0.05900396945646988
2020-12-17,458,0.8554830451159902,0.8835115656451218,-0.028028520529131642
2020-12-18,465,0.8567297534804704,1.1457104644344727,-0.2889807109540023
2020-12-21,467,0.7882960937119542,0.8217383284914263,-0.033442234779472044
2020-12-22,454,0.8225958525922165,0.8462233407400499,-0.023627488147833487
2020-12-23,444,0.8275240422389288,0.9303348900933812,-0.10281084785445231
2020-12-24,446,0.8810259938113517,0.8361955608042511,0.04483043300710069
2020-12-28,444,0.8766349964999374,0.9352919539823423,-0.05865695748240501
2020-12-29,443,1.419757227581099,1.5611108418655584,-0.14135361428445947
2020-12-30,449,1.56175978207016,1.7638108853458183,-0.20205110327565814
2020-12-31,456,1.4953277579802375,1.6726007988032308,-0.17727304082299292
2021-01-04,461,1.7207853453166417,2.0845054465952537,-0.36372010127861176
2021-01-05,463,1.7091917007755537,1.8910951510264915,-0.1819034502509378
2021-01-06,462,1.1077105398294922,1.2697783254446018,-0.16206778561510976
2021-01-07,469,1.105962590113677,1.268057113519506,-0.16209452340582908
2021-01-08,471,1.0852382314691156,1.106152486661838,-0.02091425519272253
2021-01-11,466,1.0712183140999154,1.2640382512984714,-0.19281993719855603
2021-01-12,466,1.067800518927351,1.2552439065148526,-0.18744338758750148
2021-01-13,461,1.0239015085016245,1.0640637285846648,-0.04016222008304043
2021-01-14,465,1.066806480578191,1.0819147283466901,-0.015108247768499372
2021-01-15,467,1.083873982408149,1.1116799628580591,-0.02780598044991007
2021-01-19,471,1.2243754693214555,1.2125113445933622,0.011864124728093343
2021-01-20,471,1.7993617190654618,1.7179113748926182,0.08145034417284351
2021-01-21,472,1.1957132838874573,1.20728959887583,-0.011576314988372785
2021-01-22,460,1.4596691946885372,1.4319675989111307,0.027701595777406503
2021-01-25,459,1.1395208674576855,1.143492203920333,-0.003971336462647633
2021-01-26,458,1.0219421317201847,1.0775275793072996,-0.055585447587114825
2021-01-27,458,1.3717260370116644,1.7754087067600486,-0.40368266974838424
